gRNA	HL60.initial
RAD9B_m110944395	170
RAD9B_m110944417	61
RAD9B_m110944453	553
RAD9B_p110940159	1245
RAD9B_p110940166	896
RAD9B_p110941637	890
RAD9B_p110943428	114
RAD9B_p110943439	359
RAD9B_p110944476	383
RAE1_m55929140	1069
RAE1_m55929791	816
RAE1_p55929097	713
RAE1_p55929127	844
RAE1_p55929162	744
RAE1_p55929782	1
RAE1_p55929815	211
RAE1_p55929840	322
RAE1_p55931490	340
RAE1_p55931543	459
RAF1_m12660086	924
RAF1_m12660099	262
RAF1_m12660113	282
RAF1_m12660152	1061
RAF1_m12660182	730
RAF1_m12660199	723
RAF1_m12660206	918
RAF1_p12660047	194
RAF1_p12660124	1657
RAF1_p12660139	913
RAG1_m36594871	481
RAG1_m36594876	367
RAG1_m36594898	308
RAG1_m36595025	190
RAG1_m36595051	467
RAG1_p36594859	384
RAG1_p36594933	150
RAG1_p36595030	275
RAG1_p36595036	501
RAG1_p36595043	1260
RAG2_m36615468	606
RAG2_m36615668	364
RAG2_m36615705	544
RAG2_p36615473	124
RAG2_p36615485	363
RAG2_p36615492	976
RAG2_p36615499	993
RAG2_p36615537	275
RAG2_p36615558	84
RAG2_p36615658	701
RAI14_m34757576	328
RAI14_m34757615	103
RAI14_m34757669	468
RAI14_p34757561	264
RAI14_p34757579	385
RAI14_p34757589	1033
RAI14_p34757595	257
RAI14_p34757602	376
RAI14_p34757619	731
RAI14_p34757640	100
RAI1_m17696294	339
RAI1_m17696315	568
RAI1_m17696323	121
RAI1_m17696342	312
RAI1_m17696361	742
RAI1_p17696274	509
RAI1_p17696306	653
RAI1_p17696332	415
RAI1_p17696345	1114
RAI1_p17696350	358
RALA_m39730054	537
RALA_p39726265	530
RALA_p39726280	378
RALA_p39726304	749
RALA_p39726311	830
RALA_p39726319	700
RALA_p39726358	812
RALA_p39730019	1044
RALA_p39730056	218
RALA_p39730100	326
RALB_m121036250	547
RALB_m121036266	679
RALB_m121036274	1020
RALB_m121036280	290
RALB_m121036328	681
RALB_p121036239	254
RALB_p121036254	659
RALB_p121036285	1072
RALB_p121036294	630
RALB_p121036332	745
RALGAPA1_m36221231	110
RALGAPA1_m36231917	505
RALGAPA1_m36240149	442
RALGAPA1_m36240166	118
RALGAPA1_m36244237	316
RALGAPA1_m36277937	1399
RALGAPA1_p36230022	151
RALGAPA1_p36230030	411
RALGAPA1_p36231900	509
RALGAPA1_p36277929	210
RALGAPA2_m20693019	803
RALGAPA2_m20693059	362
RALGAPA2_m20693071	904
RALGAPA2_m20693102	150
RALGAPA2_m20693111	180
RALGAPA2_p20661383	84
RALGAPA2_p20693011	416
RALGAPA2_p20693023	481
RALGAPA2_p20693043	436
RALGAPA2_p20693063	399
RALY_m32659887	355
RALY_m32659928	308
RALY_m32659935	415
RALY_m32659963	317
RALY_m32660020	481
RALY_p32659876	389
RALY_p32659954	764
RALY_p32659972	693
RALY_p32659994	371
RALY_p32660002	255
RANBP10_m67840306	676
RANBP10_m67840394	1450
RANBP10_m67840409	641
RANBP10_m67840416	1645
RANBP10_m67840426	662
RANBP10_p67840276	303
RANBP10_p67840286	580
RANBP10_p67840294	129
RANBP10_p67840309	94
RANBP10_p67840396	99
RANBP17_m170305205	864
RANBP17_m170308816	829
RANBP17_m170308829	1189
RANBP17_m170308862	1465
RANBP17_p170289033	751
RANBP17_p170305093	179
RANBP17_p170305121	318
RANBP17_p170305147	67
RANBP17_p170305165	643
RANBP17_p170308867	554
RANBP2_m109371504	297
RANBP2_m109374916	598
RANBP2_p109336064	966
RANBP2_p109336069	1190
RANBP2_p109336082	1101
RANBP2_p109352079	321
RANBP2_p109352168	3
RANBP2_p109352683	666
RANBP2_p109356956	533
RANBP2_p109357066	361
RANBP3_m5941702	549
RANBP3_m5941817	270
RANBP3_m5941835	207
RANBP3_m5957938	0
RANBP3_m5978073	995
RANBP3_p5941663	471
RANBP3_p5941802	229
RANBP3_p5941807	716
RANBP3_p5957940	351
RANBP3_p5957952	613
RANBP6_m6014338	641
RANBP6_m6014343	524
RANBP6_m6015414	695
RANBP6_m6015586	463
RANBP6_p6014324	487
RANBP6_p6014330	829
RANBP6_p6015418	127
RANBP6_p6015429	0
RANBP6_p6015452	565
RANBP6_p6015525	215
RANBP9_m13711310	623
RANBP9_m13711557	523
RANBP9_m13711598	0
RANBP9_m13711631	798
RANBP9_m13711731	371
RANBP9_p13711354	521
RANBP9_p13711517	467
RANBP9_p13711587	548
RANBP9_p13711600	528
RANBP9_p13711623	327
RANGAP1_m41670656	1986
RANGAP1_m41670661	253
RANGAP1_m41670673	441
RANGAP1_m41670689	718
RANGAP1_m41676938	392
RANGAP1_m41676991	630
RANGAP1_m41676996	153
RANGAP1_m41677023	588
RANGAP1_m41677041	794
RANGAP1_p41677006	123
RANGRF_m8192106	37
RANGRF_m8192115	1227
RANGRF_m8192173	300
RANGRF_m8192272	472
RANGRF_m8192279	404
RANGRF_m8192286	0
RANGRF_m8192315	123
RANGRF_m8192320	776
RANGRF_m8192330	831
RANGRF_p8192264	478
RAN_m131357160	694
RAN_m131357167	1
RAN_p131357128	615
RAN_p131357371	684
RAN_p131357377	783
RAN_p131357443	539
RAN_p131357533	88
RAN_p131357542	605
RAN_p131357624	83
RAN_p131357651	940
RARA_m38508202	511
RARA_m38508208	140
RARA_m38508291	421
RARA_m38508296	368
RARA_m38508581	31
RARA_p38508171	0
RARA_p38508216	864
RARA_p38508222	749
RARA_p38508258	168
RARA_p38508300	623
RARB_m25542722	195
RARB_m25542754	564
RARB_m25542767	487
RARB_m25542782	731
RARB_m25542808	468
RARB_m25611366	629
RARB_p25542733	53
RARB_p25611233	561
RARB_p25611242	651
RARB_p25611372	433
RARG_m53608343	816
RARG_m53608351	255
RARG_m53608376	271
RARG_m53609078	590
RARG_m53609093	1044
RARG_m53609116	766
RARG_p53608314	644
RARG_p53608354	143
RARG_p53609062	76
RARG_p53609103	72
RARS_m167915678	809
RARS_p167913493	830
RARS_p167913513	127
RARS_p167913526	275
RARS_p167915622	676
RARS_p167915662	0
RARS_p167915719	49
RARS_p167919658	135
RARS_p167919707	176
RARS_p167919714	0
RASA1_m86627209	623
RASA1_m86627264	544
RASA1_m86627293	384
RASA1_p86627190	74
RASA1_p86627198	79
RASA1_p86627235	1309
RASA1_p86627243	611
RASA1_p86628318	716
RASA1_p86628333	637
RASA1_p86628369	812
RASD1_m17399395	1160
RASD1_m17399406	240
RASD1_m17399437	588
RASD1_m17399452	498
RASD1_p17399386	225
RASD1_p17399411	675
RASD1_p17399416	511
RASD1_p17399439	30
RASD1_p17399462	1515
RASD1_p17399475	335
RASGRP4_m38912632	1457
RASGRP4_m38912658	308
RASGRP4_m38912673	792
RASGRP4_m38912689	516
RASGRP4_m38912695	354
RASGRP4_m38912772	599
RASGRP4_m38912782	313
RASGRP4_p38912647	333
RASGRP4_p38912660	474
RASGRP4_p38912719	258
RASL10A_m29711124	545
RASL10A_m29711158	155
RASL10A_p29711082	426
RASL10A_p29711087	191
RASL10A_p29711093	804
RASL10A_p29711098	333
RASL10A_p29711109	644
RASL10A_p29711147	911
RASL10A_p29711176	1278
RASL10A_p29711201	747
RASL11A_m27845082	897
RASL11A_m27845090	485
RASL11A_m27845103	678
RASL11A_m27845129	446
RASL11A_m27845136	556
RASL11A_m27845149	305
RASL11A_p27845152	1253
RASL11A_p27845158	1618
RASL11A_p27845165	1496
RASL11A_p27845183	17
RASSF1_m50369181	550
RASSF1_m50369193	1365
RASSF1_m50369241	611
RASSF1_m50369267	750
RASSF1_m50369279	430
RASSF1_m50369482	526
RASSF1_p50369112	427
RASSF1_p50369183	248
RASSF1_p50369197	1
RASSF1_p50369211	398
RASSF2_m4776589	262
RASSF2_m4778657	351
RASSF2_m4781641	213
RASSF2_p4776536	224
RASSF2_p4776542	491
RASSF2_p4778645	414
RASSF2_p4778660	278
RASSF2_p4778682	572
RASSF2_p4781623	237
RASSF2_p4781630	561
RASSF4_m45465671	984
RASSF4_m45465686	590
RASSF4_m45467262	495
RASSF4_m45478033	559
RASSF4_m45478073	486
RASSF4_p45467244	1148
RASSF4_p45467274	514
RASSF4_p45477970	911
RASSF4_p45478024	189
RASSF4_p45478039	665
RASSF7_p561755	804
RASSF7_p561761	773
RASSF7_p561770	951
RASSF7_p561779	944
RASSF7_p561784	1420
RASSF7_p561792	1102
RASSF7_p561806	69
RASSF7_p561813	931
RASSF7_p561839	395
RASSF7_p561845	493
RAVER2_m65210986	565
RAVER2_m65210997	1496
RAVER2_m65211007	702
RAVER2_m65211021	433
RAVER2_m65211087	621
RAVER2_p65210842	180
RAVER2_p65210951	640
RAVER2_p65211012	298
RAVER2_p65211039	449
RAVER2_p65234383	585
RAX2_m3771586	204
RAX2_m3771616	881
RAX2_m3771720	182
RAX2_m3771726	141
RAX2_p3771598	592
RAX2_p3771607	521
RAX2_p3771620	372
RAX2_p3771628	791
RAX2_p3771637	355
RAX2_p3771650	472
RB1CC1_m53596448	519
RB1CC1_m53596453	870
RB1CC1_m53596487	530
RB1CC1_m53596498	708
RB1CC1_m53596508	715
RB1CC1_m53596517	443
RB1CC1_m53598000	269
RB1CC1_m53598010	530
RB1CC1_p53596530	474
RB1CC1_p53596541	1880
RB1_m48878131	111
RB1_m48878164	1351
RB1_m48878173	506
RB1_m48881479	240
RB1_m48916799	1072
RB1_p48878138	847
RB1_p48878143	572
RB1_p48881489	654
RB1_p48881508	869
RB1_p48881520	473
RBAK_m5096990	736
RBAK_m5097326	771
RBAK_m5103331	124
RBAK_m5103347	50
RBAK_m5103415	229
RBAK_m5103467	870
RBAK_m5103474	236
RBAK_p5097002	1739
RBAK_p5097358	418
RBAK_p5103434	323
RBBP4_m33117651	1840
RBBP4_m33123110	812
RBBP4_m33133989	560
RBBP4_m33134675	268
RBBP4_p33117640	184
RBBP4_p33123013	602
RBBP4_p33123151	817
RBBP4_p33133812	149
RBBP4_p33134326	275
RBBP4_p33134564	567
RBBP5_m205070738	95
RBBP5_m205073040	963
RBBP5_m205073067	97
RBBP5_p205070744	663
RBBP5_p205070774	850
RBBP5_p205073032	680
RBBP5_p205073048	1067
RBBP5_p205073076	512
RBBP5_p205073090	1025
RBBP5_p205073104	1163
RBBP6_m24551948	699
RBBP6_m24551975	402
RBBP6_m24551996	769
RBBP6_m24552002	513
RBBP6_m24552015	97
RBBP6_m24552023	389
RBBP6_m24552074	139
RBBP6_m24552084	395
RBBP6_p24551986	239
RBBP6_p24552027	805
RBBP7_m16881184	1163
RBBP7_m16881217	530
RBBP7_m16887239	323
RBBP7_m16887325	607
RBBP7_p16887189	277
RBBP7_p16887203	348
RBBP7_p16887212	654
RBBP7_p16887229	303
RBBP7_p16887241	978
RBBP7_p16887255	349
RBBP8_m20516846	99
RBBP8_m20529646	444
RBBP8_m20548849	417
RBBP8_p20516804	453
RBBP8_p20516817	876
RBBP8_p20516855	279
RBBP8_p20516863	164
RBBP8_p20516901	543
RBBP8_p20548757	799
RBBP8_p20555116	783
RBBP9_m18474674	591
RBBP9_m18474687	254
RBBP9_m18477740	190
RBBP9_m18477745	139
RBBP9_m18477766	229
RBBP9_m18477773	491
RBBP9_m18477778	2067
RBBP9_m18477795	179
RBBP9_p18476498	160
RBBP9_p18477729	34
RBFOX1_m7568174	915
RBFOX1_m7568193	836
RBFOX1_m7568265	726
RBFOX1_m7568271	561
RBFOX1_m7568285	575
RBFOX1_m7568290	341
RBFOX1_m7568298	219
RBFOX1_m7568315	83
RBFOX1_m7568321	1250
RBFOX1_p7568180	878
RBFOX2_m36205917	773
RBFOX2_m36205952	392
RBFOX2_m36205971	554
RBFOX2_m36206017	196
RBFOX2_p36205923	720
RBFOX2_p36205956	363
RBFOX2_p36205962	372
RBFOX2_p36205976	807
RBFOX2_p36206004	514
RBFOX2_p36206023	317
RBFOX3_m77111593	863
RBFOX3_p77111578	534
RBFOX3_p77111596	218
RBFOX3_p77111603	171
RBFOX3_p77111611	313
RBFOX3_p77111637	15
RBFOX3_p77111656	1076
RBFOX3_p77111689	816
RBFOX3_p77111735	254
RBFOX3_p77111741	581
RBL1_m35717452	290
RBL1_m35717506	624
RBL1_m35724194	612
RBL1_m35724236	772
RBL1_m35724255	723
RBL1_p35717441	554
RBL1_p35724174	65
RBL1_p35724196	675
RBL1_p35724202	386
RBL1_p35724240	307
RBL2_m53468474	224
RBL2_m53468529	585
RBL2_m53468596	654
RBL2_m53468605	1104
RBL2_p53468459	66
RBL2_p53468515	439
RBL2_p53468521	891
RBL2_p53468536	904
RBL2_p53468620	99
RBL2_p53468626	1102
RBM10_m47028740	555
RBM10_m47028751	708
RBM10_m47028785	722
RBM10_p47006875	348
RBM10_p47028702	187
RBM10_p47028709	274
RBM10_p47028714	378
RBM10_p47028723	1007
RBM10_p47028743	725
RBM10_p47028753	1023
RBM11_m15588515	540
RBM11_m15588541	105
RBM11_m15588565	233
RBM11_m15591892	494
RBM11_m15591899	357
RBM11_p15588500	426
RBM11_p15588506	866
RBM11_p15588528	1063
RBM11_p15588550	144
RBM11_p15588581	806
RBM12_m34243080	908
RBM12_m34243085	761
RBM12_m34243154	397
RBM12_m34243173	194
RBM12_m34243203	235
RBM12_m34243221	635
RBM12_m34243237	755
RBM12_p34243162	433
RBM12_p34243175	1499
RBM12_p34243207	277
RBM14_m66384236	266
RBM14_m66384263	259
RBM14_m66384288	677
RBM14_m66384306	384
RBM14_p66384197	133
RBM14_p66384223	135
RBM14_p66384245	363
RBM14_p66384250	541
RBM14_p66384308	535
RBM14_p66384338	263
RBM15B_m51428831	366
RBM15B_m51428862	815
RBM15B_m51428888	401
RBM15B_m51428899	356
RBM15B_p51428816	188
RBM15B_p51428845	441
RBM15B_p51428851	714
RBM15B_p51428879	958
RBM15B_p51428891	152
RBM15B_p51428901	1589
RBM15_m110882050	332
RBM15_m110882131	235
RBM15_m110882143	518
RBM15_m110882183	179
RBM15_p110882017	325
RBM15_p110882052	522
RBM15_p110882062	891
RBM15_p110882086	171
RBM15_p110882111	106
RBM15_p110882186	492
RBM17_m6139036	552
RBM17_m6139048	226
RBM17_m6143268	196
RBM17_m6143280	303
RBM17_m6143297	418
RBM17_m6143307	1144
RBM17_m6143329	792
RBM17_p6139028	467
RBM17_p6139129	157
RBM17_p6143320	44
RBM19_m114400095	156
RBM19_m114400124	232
RBM19_m114400181	350
RBM19_m114400201	375
RBM19_m114400212	414
RBM19_m114403999	176
RBM19_p114400126	346
RBM19_p114400137	899
RBM19_p114400162	366
RBM19_p114404011	114
RBM20_m112404211	697
RBM20_m112404251	109
RBM20_m112404260	168
RBM20_m112404269	463
RBM20_m112404282	684
RBM20_m112404317	76
RBM20_m112404325	169
RBM20_p112404217	402
RBM20_p112404223	1446
RBM20_p112404272	596
RBM22_m150078184	763
RBM22_m150080495	1235
RBM22_m150080501	753
RBM22_m150080514	442
RBM22_p150078163	553
RBM22_p150078174	130
RBM22_p150079997	498
RBM22_p150080030	874
RBM22_p150080505	543
RBM22_p150080517	63
RBM23_m23375563	288
RBM23_m23378721	1393
RBM23_m23378792	1116
RBM23_m23380562	648
RBM23_m23380571	701
RBM23_p23378702	670
RBM23_p23378723	34
RBM23_p23378732	493
RBM23_p23378745	211
RBM23_p23380545	540
RBM24_m17283042	241
RBM24_m17283063	57
RBM24_m17283072	177
RBM24_m17283111	537
RBM24_p17283030	1044
RBM24_p17283045	328
RBM24_p17283055	870
RBM24_p17283077	842
RBM24_p17283085	434
RBM24_p17283100	222
RBM25_m73538361	596
RBM25_m73538378	371
RBM25_m73538383	43
RBM25_m73538393	262
RBM25_m73538420	726
RBM25_m73538430	389
RBM25_m73538442	202
RBM25_p73538363	600
RBM25_p73538385	774
RBM25_p73538433	486
RBM27_m145583353	476
RBM27_m145583371	220
RBM27_m145598563	129
RBM27_m145598570	1153
RBM27_m145598576	588
RBM27_p145583318	528
RBM27_p145583324	228
RBM27_p145583341	801
RBM27_p145583357	535
RBM27_p145598580	660
RBM28_m127983767	1347
RBM28_m127983789	483
RBM28_m127983807	320
RBM28_m127983824	847
RBM28_m127983842	288
RBM28_p127983740	354
RBM28_p127983780	614
RBM28_p127983791	235
RBM28_p127983811	226
RBM28_p127983816	349
RBM34_m235324326	836
RBM34_m235324331	621
RBM34_m235324336	205
RBM34_m235324347	432
RBM34_m235324491	110
RBM34_m235324529	1247
RBM34_m235324534	180
RBM34_p235324297	417
RBM34_p235324352	162
RBM34_p235324514	104
RBM38_m55966637	758
RBM38_m55966700	461
RBM38_m55966731	962
RBM38_m55966759	775
RBM38_m55966768	925
RBM38_m55966776	928
RBM38_m55966782	498
RBM38_p55966702	869
RBM38_p55966733	371
RBM38_p55966787	218
RBM39_m34312988	377
RBM39_m34312995	312
RBM39_m34319918	800
RBM39_m34319924	539
RBM39_m34319972	644
RBM39_m34326913	1238
RBM39_m34328747	130
RBM39_p34317218	114
RBM39_p34319857	322
RBM39_p34319932	245
RBM3_m48433575	151
RBM3_m48433620	606
RBM3_m48433642	714
RBM3_m48433661	209
RBM3_p48433562	474
RBM3_p48433577	261
RBM3_p48433612	233
RBM3_p48433634	686
RBM3_p48433648	179
RBM3_p48433940	259
RBM42_m36120078	316
RBM42_m36120111	443
RBM42_m36120118	559
RBM42_p36120040	1014
RBM42_p36120084	259
RBM42_p36120091	617
RBM42_p36120097	0
RBM42_p36120103	181
RBM42_p36120138	135
RBM42_p36120144	169
RBM45_m178977274	236
RBM45_m178977332	95
RBM45_m178977342	628
RBM45_m178977353	903
RBM45_m178977362	524
RBM45_m178977384	512
RBM45_p178977264	959
RBM45_p178977279	394
RBM45_p178977368	792
RBM45_p178977376	85
RBM47_m40440795	491
RBM47_m40440830	597
RBM47_m40440840	295
RBM47_m40440862	157
RBM47_m40440870	560
RBM47_m40440900	144
RBM47_p40440799	830
RBM47_p40440832	157
RBM47_p40440844	182
RBM47_p40440883	79
RBM48_m92158171	537
RBM48_m92158177	135
RBM48_m92158203	357
RBM48_m92158226	1085
RBM48_p92158118	1349
RBM48_p92158158	1167
RBM48_p92158192	555
RBM48_p92158216	755
RBM48_p92158785	326
RBM48_p92158824	456
RBM4B_m66436530	688
RBM4B_m66436559	520
RBM4B_m66436566	778
RBM4B_m66436593	642
RBM4B_m66436664	870
RBM4B_m66436670	529
RBM4B_m66436679	411
RBM4B_m66436730	926
RBM4B_p66436692	493
RBM4B_p66436715	115
RBM4_m66407411	120
RBM4_m66407444	738
RBM4_m66407574	213
RBM4_m66410947	1311
RBM4_m66410970	395
RBM4_m66410984	47
RBM4_p66407436	315
RBM4_p66410932	316
RBM4_p66410949	389
RBM4_p66410954	168
RBM5_m50129513	802
RBM5_m50129532	263
RBM5_m50129549	479
RBM5_m50129622	309
RBM5_p50129476	519
RBM5_p50129485	1499
RBM5_p50129501	981
RBM5_p50129534	625
RBM5_p50129540	228
RBM5_p50129576	175
RBM6_m50085711	143
RBM6_m50091793	654
RBM6_m50091801	246
RBM6_m50091820	406
RBM6_m50095172	177
RBM6_p50085673	74
RBM6_p50085691	394
RBM6_p50091761	956
RBM6_p50091806	476
RBM6_p50095146	214
RBM8A_m145508014	358
RBM8A_m145508271	360
RBM8A_m145508277	205
RBM8A_m145508522	483
RBM8A_m145508586	637
RBM8A_m145509002	857
RBM8A_p145508053	92
RBM8A_p145508482	429
RBM8A_p145508570	291
RBM8A_p145508994	1881
RBMS1_m161143558	681
RBMS1_m161157163	458
RBMS1_m161159870	400
RBMS1_m161169668	723
RBMS1_m161349862	726
RBMS1_p161157154	444
RBMS1_p161159926	470
RBMS1_p161223883	1111
RBMS1_p161349795	324
RBMS1_p161349821	1145
RBMS2_m56962802	920
RBMS2_m56963681	499
RBMS2_m56963748	712
RBMS2_m56975036	438
RBMS2_p56915851	834
RBMS2_p56962770	360
RBMS2_p56963737	623
RBMS2_p56963752	1119
RBMS2_p56965471	399
RBMS2_p56975270	1725
RBMXL1_m89448615	657
RBMXL1_m89448712	452
RBMXL1_m89448955	424
RBMXL1_m89449228	524
RBMXL1_m89449426	333
RBMXL1_p89448943	690
RBMXL1_p89448988	331
RBMXL1_p89449009	265
RBMXL1_p89449120	734
RBMXL1_p89449196	77
RBMX_m135956352	571
RBMX_m135957312	169
RBMX_m135957318	39
RBMX_m135957418	443
RBMX_m135957631	137
RBMX_m135957731	512
RBMX_m135958663	318
RBMX_m135961479	1052
RBMX_p135957671	739
RBMX_p135961172	170
RBPJL_m43936787	249
RBPJL_m43936799	430
RBPJL_m43936805	530
RBPJL_m43936816	330
RBPJL_m43936822	423
RBPJL_m43936877	180
RBPJL_p43936842	839
RBPJL_p43936855	276
RBPJL_p43936863	185
RBPJL_p43936869	322
RBPJ_m26387993	257
RBPJ_m26387999	130
RBPJ_m26417108	725
RBPJ_p26387967	150
RBPJ_p26417151	867
RBPJ_p26417191	651
RBPJ_p26417196	711
RBPJ_p26417240	448
RBPJ_p26422232	281
RBPJ_p26422269	1243
RBPMS_m30242657	408
RBPMS_m30332293	592
RBPMS_m30332299	517
RBPMS_m30332304	875
RBPMS_m30332320	632
RBPMS_p30242596	821
RBPMS_p30242613	596
RBPMS_p30242643	235
RBPMS_p30242649	277
RBPMS_p30335331	429
RBX1_m41347431	83
RBX1_m41347442	379
RBX1_m41349574	282
RBX1_m41349583	598
RBX1_m41349610	398
RBX1_m41349623	580
RBX1_p41347401	972
RBX1_p41349556	201
RBX1_p41349562	442
RBX1_p41360051	531
RCAN1_m35890506	738
RCAN1_m35893804	57
RCAN1_m35893873	16
RCAN1_m35893931	901
RCAN1_p35893822	240
RCAN1_p35893855	306
RCAN1_p35893863	361
RCAN1_p35893894	625
RCAN1_p35893900	461
RCAN1_p35893910	107
RCC1_m28858343	517
RCC1_m28858366	261
RCC1_p28858302	510
RCC1_p28858322	616
RCC1_p28858327	936
RCC1_p28858345	319
RCC1_p28858354	854
RCC1_p28858389	864
RCC1_p28858399	1157
RCC1_p28858405	217
RCC2_m17764774	201
RCC2_m17764781	472
RCC2_m17764867	630
RCC2_m17764899	850
RCC2_m17764916	321
RCC2_m17764963	325
RCC2_m17765004	1058
RCC2_p17764920	180
RCC2_p17764925	645
RCC2_p17764948	631
RCHY1_m76439408	660
RCHY1_m76439422	53
RCHY1_m76439444	1222
RCHY1_m76439452	585
RCHY1_m76439473	62
RCHY1_m76439480	293
RCHY1_m76439486	682
RCHY1_p76434454	441
RCHY1_p76434480	588
RCHY1_p76439459	92
RCL1_m4793113	0
RCL1_m4793144	944
RCL1_m4793156	207
RCL1_m4793189	96
RCL1_m4793203	393
RCL1_p4793081	695
RCL1_p4793103	234
RCL1_p4793129	338
RCL1_p4793148	341
RCL1_p4793195	399
RCOR1_m103059250	212
RCOR1_m103059335	574
RCOR1_m103059371	358
RCOR1_m103059457	440
RCOR1_p103059216	630
RCOR1_p103059222	874
RCOR1_p103059264	1635
RCOR1_p103059439	245
RCOR1_p103059461	498
RCOR1_p103059469	934
RCOR2_m63683803	698
RCOR2_m63683873	268
RCOR2_m63683892	188
RCOR2_m63683899	781
RCOR2_p63683819	436
RCOR2_p63683847	421
RCOR2_p63683858	220
RCOR2_p63683864	152
RCOR2_p63683884	120
RCOR2_p63683901	336
RCOR3_m211433473	16
RCOR3_m211433480	369
RCOR3_m211433492	231
RCOR3_m211444572	334
RCOR3_m211444626	547
RCOR3_p211433464	135
RCOR3_p211433484	325
RCOR3_p211444581	1104
RCOR3_p211444597	743
RCOR3_p211447555	53
RDH10_m74207612	113
RDH10_p74207514	564
RDH10_p74207529	871
RDH10_p74207549	234
RDH10_p74207562	1156
RDH10_p74207568	648
RDH10_p74207592	1358
RDH10_p74207604	603
RDH10_p74207629	574
RDH10_p74207635	344
RDM1_m34252568	635
RDM1_m34257078	463
RDM1_m34257179	1667
RDM1_p34252560	1145
RDM1_p34252571	293
RDM1_p34252577	828
RDM1_p34252605	757
RDM1_p34257158	1067
RDM1_p34257163	488
RDM1_p34257204	266
REC8_m24641776	1181
REC8_m24641793	579
REC8_m24641798	1020
REC8_m24641945	427
REC8_m24642106	1198
REC8_p24641916	593
REC8_p24641923	432
REC8_p24641947	419
REC8_p24641957	825
REC8_p24642110	361
RECQL4_m145743006	518
RECQL4_m145743012	383
RECQL4_m145743102	543
RECQL4_m145743111	310
RECQL4_m145743128	946
RECQL4_m145743134	1109
RECQL4_m145743141	766
RECQL4_m145743146	545
RECQL4_m145743155	281
RECQL4_p145743070	283
RECQL5_m73661180	90
RECQL5_m73661220	407
RECQL5_m73662522	623
RECQL5_m73662565	697
RECQL5_m73662589	637
RECQL5_p73661154	729
RECQL5_p73661167	452
RECQL5_p73661183	2006
RECQL5_p73662567	136
RECQL5_p73662581	132
RECQL_m21644465	1
RECQL_m21644501	460
RECQL_m21644576	332
RECQL_m21644581	0
RECQL_m21644635	587
RECQL_m21644641	118
RECQL_p21643284	107
RECQL_p21644447	56
RECQL_p21644600	583
RECQL_p21652474	149
RELA_m65429446	986
RELA_m65429453	625
RELA_m65429477	338
RELA_m65429505	379
RELA_m65429543	321
RELA_p65429392	857
RELA_p65429432	610
RELA_p65429515	141
RELA_p65429643	635
RELA_p65430282	503
RELB_m45504855	541
RELB_m45504876	258
RELB_m45504884	376
RELB_m45504889	777
RELB_m45504894	324
RELB_m45506214	859
RELB_p45504823	377
RELB_p45504828	471
RELB_p45504840	230
RELB_p45504896	867
REL_m61108976	263
REL_m61118830	76
REL_m61118950	430
REL_p61108963	414
REL_p61118835	717
REL_p61118841	312
REL_p61118882	1602
REL_p61118895	378
REL_p61118938	182
REL_p61121525	379
REPIN1_m150068330	1035
REPIN1_m150068358	627
REPIN1_m150068382	377
REPIN1_m150068389	231
REPIN1_m150068488	446
REPIN1_m150068499	1659
REPIN1_p150068424	289
REPIN1_p150068432	376
REPIN1_p150068443	1985
REPIN1_p150068453	472
RERE_m8422857	702
RERE_m8422883	526
RERE_m8424123	493
RERE_m8424130	2578
RERE_m8424139	1787
RERE_m8424154	919
RERE_m8424163	589
RERE_m8424171	591
RERE_m8424177	399
RERE_p8422844	823
RERG_m15262436	650
RERG_m15264279	768
RERG_m15264284	269
RERG_m15264303	281
RERG_m15370364	1102
RERG_m15370373	1281
RERG_m15370379	754
RERG_m15370387	423
RERG_p15264312	1383
RERG_p15264318	384
REST_m57776881	532
REST_m57776916	684
REST_m57776931	493
REST_p57776794	281
REST_p57776800	666
REST_p57776822	647
REST_p57776840	905
REST_p57776849	1413
REST_p57776854	443
REST_p57776905	72
RETN_m7734273	531
RETN_m7734282	255
RETN_m7734310	31
RETN_m7734705	493
RETN_p7734226	718
RETN_p7734262	542
RETN_p7734289	296
RETN_p7734299	328
RETN_p7734708	700
RETN_p7734713	679
RETSAT_m85581460	680
RETSAT_m85581480	25
RETSAT_m85581516	301
RETSAT_m85581553	633
RETSAT_m85581617	884
RETSAT_p85578949	72
RETSAT_p85581521	201
RETSAT_p85581560	430
RETSAT_p85581584	726
RETSAT_p85581598	1719
RET_m43572766	388
RET_m43595919	275
RET_p43572693	1100
RET_p43572703	310
RET_p43572711	1022
RET_p43572757	490
RET_p43595892	412
RET_p43595909	223
RET_p43595921	227
RET_p43595937	752
REV1_m100079012	664
REV1_m100079017	224
REV1_m100079053	594
REV1_m100079065	617
REV1_m100079074	190
REV1_m100081385	672
REV1_m100081419	606
REV1_m100081426	309
REV1_p100079038	593
REV1_p100079045	281
REV3L_m111737579	152
REV3L_m111737611	584
REV3L_m111737617	805
REV3L_m111737650	427
REV3L_m111804038	456
REV3L_m111804054	657
REV3L_p111737602	806
REV3L_p111803937	622
REV3L_p111803963	152
REV3L_p111803978	48
REXO1_m1848255	490
REXO1_m1848264	539
REXO1_m1848332	84
REXO1_p1828565	54
REXO1_p1828592	288
REXO1_p1848186	401
REXO1_p1848210	182
REXO1_p1848267	393
REXO1_p1848324	445
