gRNA	HL60.initial
ADCK1_p78285311	591
ADCK1_p78285331	543
ADCK1_p78285341	795
ADCK1_p78285386	551
ADCK1_p78285402	848
ADCK1_p78285416	562
ADCK2_m140373155	53
ADCK2_m140373168	469
ADCK2_m140373177	396
ADCK2_m140373210	587
ADCK2_m140373220	235
ADCK2_m140373231	894
ADCK2_p140373122	394
ADCK2_p140373137	132
ADCK2_p140373158	570
ADCK2_p140373194	854
ADCK3_m227149096	184
ADCK3_m227149144	179
ADCK3_m227149153	844
ADCK3_m227149163	759
ADCK3_p227149079	1573
ADCK3_p227149104	1108
ADCK3_p227149124	822
ADCK3_p227149133	493
ADCK3_p227149155	1548
ADCK3_p227149165	380
ADCK4_m41220243	565
ADCK4_m41220249	1008
ADCK4_m41220284	840
ADCK4_m41220291	153
ADCK4_m41220465	553
ADCK4_m41220474	1346
ADCK4_m41220523	385
ADCK4_p41220276	463
ADCK4_p41220422	110
ADCK4_p41220480	1717
ADCK5_m145603095	617
ADCK5_m145603137	813
ADCK5_m145603170	584
ADCK5_m145608301	715
ADCK5_m145608343	637
ADCK5_p145597774	392
ADCK5_p145603106	1009
ADCK5_p145603142	871
ADCK5_p145608305	256
ADCK5_p145608311	409
ADCY1_m45614206	122
ADCY1_m45614243	688
ADCY1_m45614270	454
ADCY1_m45614323	483
ADCY1_p45614127	1174
ADCY1_p45614255	307
ADCY1_p45614284	296
ADCY1_p45614294	102
ADCY1_p45614309	265
ADCY1_p45614315	2
ADD1_m2877698	325
ADD1_m2877722	326
ADD1_m2877771	361
ADD1_m2877776	385
ADD1_p2877627	161
ADD1_p2877644	558
ADD1_p2877730	132
ADD1_p2877736	751
ADD1_p2877743	390
ADD1_p2877761	960
ADD3_m111860427	193
ADD3_m111860445	862
ADD3_m111860450	1087
ADD3_m111860456	1010
ADD3_m111860540	794
ADD3_p111860411	404
ADD3_p111860500	351
ADD3_p111860505	665
ADD3_p111860545	940
ADD3_p111860553	1280
ADH5_m100003154	381
ADH5_m100003254	802
ADH5_m100006267	911
ADH5_m100006354	971
ADH5_m100009841	1322
ADH5_p100002504	455
ADH5_p100002510	302
ADH5_p100002584	1479
ADH5_p100003219	215
ADH5_p100003224	378
ADH7_m100349694	552
ADH7_m100350690	116
ADH7_m100350735	553
ADH7_m100350762	1263
ADH7_p100349698	740
ADH7_p100349706	316
ADH7_p100349757	412
ADH7_p100350692	398
ADH7_p100350718	117
ADH7_p100350724	233
ADI1_m3517677	282
ADI1_m3523156	523
ADI1_m3523162	403
ADI1_m3523239	394
ADI1_m3523246	545
ADI1_m3523251	1062
ADI1_p3517642	178
ADI1_p3517660	667
ADI1_p3523164	762
ADI1_p3523171	433
ADIRF_m88728302	335
ADIRF_m88728350	166
ADIRF_m88729968	500
ADIRF_p88728292	731
ADIRF_p88728315	478
ADIRF_p88728321	1121
ADIRF_p88729942	647
ADIRF_p88729951	296
ADIRF_p88729975	61
ADIRF_p88729984	904
ADK_m75960552	1002
ADK_m75960590	142
ADK_m76153995	688
ADK_m76154033	379
ADK_p75960554	247
ADK_p76074446	1024
ADK_p76074475	135
ADK_p76074481	298
ADK_p76153940	547
ADK_p76154015	309
ADNP2_m77891006	0
ADNP2_p77875445	446
ADNP2_p77875475	169
ADNP2_p77875482	382
ADNP2_p77875499	507
ADNP2_p77875511	880
ADNP2_p77890985	528
ADNP2_p77891013	505
ADNP2_p77891042	162
ADNP2_p77891053	241
ADNP_m49511043	278
ADNP_m49518579	1228
ADNP_m49518587	2053
ADNP_m49520451	1122
ADNP_m49520507	653
ADNP_p49510837	337
ADNP_p49510899	1015
ADNP_p49510949	292
ADNP_p49511011	291
ADNP_p49520498	470
ADPRHL2_m36554512	337
ADPRHL2_m36554557	1087
ADPRHL2_m36554563	823
ADPRHL2_m36554576	748
ADPRHL2_m36554620	239
ADPRHL2_p36554501	407
ADPRHL2_p36554520	750
ADPRHL2_p36554568	335
ADPRHL2_p36554580	578
ADPRHL2_p36554606	175
ADRA1A_m26722399	110
ADRA1A_m26722428	0
ADRA1A_m26722434	716
ADRA1A_m26722473	552
ADRA1A_p26722329	1069
ADRA1A_p26722406	227
ADRA1A_p26722412	689
ADRA1A_p26722419	386
ADRA1A_p26722438	744
ADRA1A_p26722465	378
ADRA1B_m159343921	46
ADRA1B_m159343926	358
ADRA1B_m159343934	509
ADRA1B_m159343996	509
ADRA1B_m159344001	224
ADRA1B_m159344006	341
ADRA1B_m159344028	731
ADRA1B_p159343905	279
ADRA1B_p159343912	782
ADRA1B_p159343940	731
ADRB1_m115803922	157
ADRB1_m115803930	300
ADRB1_m115803938	588
ADRB1_m115803996	439
ADRB1_m115804005	916
ADRB1_m115804012	1474
ADRB1_m115804041	282
ADRB1_m115804047	434
ADRB1_p115803878	298
ADRB1_p115803909	393
ADRB2_m148206406	564
ADRB2_m148206447	562
ADRB2_p148206408	731
ADRB2_p148206418	302
ADRB2_p148206432	318
ADRB2_p148206450	414
ADRB2_p148206455	3368
ADRB2_p148206462	920
ADRB2_p148206467	518
ADRB2_p148206474	101
ADRB3_m37823829	214
ADRB3_m37823842	97
ADRB3_m37823867	171
ADRB3_m37823894	827
ADRB3_p37823813	862
ADRB3_p37823900	123
ADRB3_p37823908	321
ADRB3_p37823913	309
ADRB3_p37823952	839
ADRB3_p37823958	1511
ADRBK1_m67034181	253
ADRBK1_m67034219	755
ADRBK1_m67034242	995
ADRBK1_m67034255	399
ADRBK1_p67034160	693
ADRBK1_p67034166	864
ADRBK1_p67034172	899
ADRBK1_p67034193	618
ADRBK1_p67034199	628
ADRBK1_p67034261	463
ADRBK2_m25961078	215
ADRBK2_m25961092	1140
ADRBK2_m25961108	702
ADRBK2_m26000349	179
ADRBK2_m26000370	484
ADRBK2_m26057580	415
ADRBK2_p25960997	892
ADRBK2_p25961098	1384
ADRBK2_p26040592	290
ADRBK2_p26057601	991
ADRM1_m60878634	279
ADRM1_m60878651	501
ADRM1_m60878679	1078
ADRM1_p60878615	325
ADRM1_p60878642	64
ADRM1_p60878671	286
ADRM1_p60878682	688
ADRM1_p60878687	138
ADRM1_p60878704	186
ADRM1_p60878730	423
AEBP1_m44144289	1334
AEBP1_m44144302	402
AEBP1_m44144319	675
AEBP1_m44144326	782
AEBP1_m44144338	395
AEBP1_m44144355	357
AEBP1_p44144293	613
AEBP1_p44144306	661
AEBP1_p44144347	707
AEBP1_p44144359	524
AEBP2_m19615484	71
AEBP2_m19615553	933
AEBP2_m19615572	696
AEBP2_m19615578	237
AEBP2_p19615440	701
AEBP2_p19615465	175
AEBP2_p19615492	497
AEBP2_p19615498	637
AEBP2_p19615544	507
AEBP2_p19615557	808
AEN_m89169460	1093
AEN_m89169478	940
AEN_m89169484	903
AEN_m89169489	64
AEN_m89169495	451
AEN_m89169500	462
AEN_m89169507	386
AEN_m89169544	365
AEN_p89169516	983
AEN_p89169534	701
AES_m3056311	515
AES_m3056337	563
AES_m3057678	591
AES_m3057717	680
AES_m3061159	385
AES_m3061215	356
AES_p3056318	734
AES_p3061179	183
AES_p3061186	162
AES_p3061195	367
AFAP1L2_m116092987	598
AFAP1L2_m116093045	482
AFAP1L2_m116100394	453
AFAP1L2_m116100466	311
AFAP1L2_p116092995	941
AFAP1L2_p116100376	150
AFAP1L2_p116100409	915
AFAP1L2_p116100418	264
AFAP1L2_p116100433	227
AFAP1L2_p116164194	402
AFF1_m87967374	175
AFF1_m87967382	253
AFF1_m87967432	118
AFF1_m87967920	511
AFF1_m87967978	374
AFF1_p87967338	422
AFF1_p87967353	1215
AFF1_p87967869	489
AFF1_p87967890	561
AFF1_p87967926	539
AFF2_m147891407	242
AFF2_m147891412	527
AFF2_m147891420	344
AFF2_m147924509	83
AFF2_m147924918	584
AFF2_m147924923	409
AFF2_m147967463	411
AFF2_m147967470	607
AFF2_p147891422	83
AFF2_p147967406	710
AFF3_m100623802	426
AFF3_m100623914	165
AFF3_m100625275	355
AFF3_m100625319	505
AFF3_m100625326	318
AFF3_m100625363	789
AFF3_p100623773	1294
AFF3_p100623814	646
AFF3_p100623867	637
AFF3_p100623873	217
AFF4_m132272813	649
AFF4_m132272826	786
