gRNA	HL60.final
ACVRL1_m52306881	2525
ACVRL1_m52306910	2322
ACVRL1_m52306921	2326
ACVRL1_p52306245	1736
ACVRL1_p52306281	2675
ACVRL1_p52306287	2205
ACVRL1_p52306296	1150
ACVRL1_p52306883	1842
ADAD1_m123301295	1518
ADAD1_m123301308	878
ADAD1_m123301332	1699
ADAD1_m123301345	1162
ADAD1_m123301366	1423
ADAD1_p123301314	2078
ADAD1_p123301335	595
ADAD1_p123301349	802
ADAD1_p123301358	3236
ADAD1_p123301373	1456
ADAM10_m58974490	676
ADAM10_m59009777	1729
ADAM10_m59009866	538
ADAM10_m59009883	2685
ADAM10_m59041689	79
ADAM10_m59041696	649
ADAM10_p58974401	936
ADAM10_p58974481	2327
ADAM10_p59009761	293
ADAM10_p59009767	1536
ADAM12_m128018982	661
ADAM12_m128019019	1714
ADAM12_m128019025	1516
ADAM12_m128076635	825
ADAM12_m128076658	2270
ADAM12_p128018991	132
ADAM12_p128019039	1049
ADAM12_p128076618	305
ADAM12_p128076641	2339
ADAM12_p128076650	673
ADAMTS5_m28338537	1079
ADAMTS5_m28338697	859
ADAMTS5_m28338702	994
ADAMTS5_p28338524	1600
ADAMTS5_p28338585	853
ADAMTS5_p28338596	592
ADAMTS5_p28338607	2009
ADAMTS5_p28338612	278
ADAMTS5_p28338620	566
ADAMTS5_p28338667	1914
ADAP1_m975089	830
ADAP1_m975116	602
ADAP1_m975132	1919
ADAP1_m994042	720
ADAP1_m994066	324
ADAP1_m994071	416
ADAP1_m994091	569
ADAP1_m994101	1441
ADAP1_m994106	1070
ADAP1_p975103	837
ADARB1_m46591572	358
ADARB1_m46595675	1117
ADARB1_m46595697	952
ADARB1_m46595715	749
ADARB1_m46595721	1880
ADARB1_m46595779	304
ADARB1_p46595645	2401
ADARB1_p46595700	1573
ADARB1_p46595705	2843
ADARB1_p46595724	485
ADARB2_m1779246	2792
ADARB2_m1779251	1496
ADARB2_m1779266	2870
ADARB2_m1779272	1077
ADARB2_m1779308	1395
ADARB2_m1779330	557
ADARB2_m1779337	1564
ADARB2_p1421307	597
ADARB2_p1421336	1398
ADARB2_p1779233	627
ADAR_m154574098	1931
ADAR_m154574103	441
ADAR_m154574108	2361
ADAR_m154574165	865
ADAR_m154574219	2566
ADAR_p154574043	1702
ADAR_p154574114	61
ADAR_p154574121	0
ADAR_p154574126	372
ADAR_p154574157	1072
ADCK1_m78285328	1746
ADCK1_m78285358	2964
ADCK1_m78285376	2055
ADCK1_m78285413	2571
ADCK1_p78285311	1142
ADCK1_p78285331	2344
