gRNA	HL60.final
PARM1_m75937758	383
PARM1_m75937763	2048
PARM1_p75858558	2085
PARM1_p75937694	2149
PARP10_m145060253	1141
PARP10_m145060260	673
PARP10_m145060376	711
PARP10_m145060381	1841
PARP10_m145060387	1304
PARP10_p145060217	331
PARP10_p145060222	1029
PARP10_p145060313	1904
PARP10_p145060319	97
PARP10_p145060324	1433
PARP12_m139762552	267
PARP12_m139762557	471
PARP12_m139762596	905
PARP12_m139762601	2130
PARP12_m139762613	3262
PARP12_m139762627	2405
PARP12_m139762636	100
PARP12_p139762541	962
PARP12_p139762565	1031
PARP12_p139762619	1313
PARP15_m122334667	3039
PARP15_m122335954	1759
PARP15_p122334651	627
PARP15_p122334656	452
PARP15_p122334670	1039
PARP15_p122334682	967
PARP15_p122335940	898
PARP15_p122335969	501
PARP15_p122335981	1959
PARP15_p122335989	491
PARP16_m65578652	866
PARP16_m65578698	1376
PARP16_m65578745	1239
PARP16_m65578753	142
PARP16_p65578659	619
PARP16_p65578667	428
PARP16_p65578676	936
PARP16_p65578683	269
PARP16_p65578700	633
PARP16_p65578735	1152
PARP1_m226589984	3154
PARP1_m226590022	912
PARP1_m226590029	817
PARP1_m226590066	241
PARP1_m226595582	765
PARP1_p226589986	2011
PARP1_p226589995	1912
PARP1_p226590014	383
PARP1_p226595501	2816
PARP1_p226595509	1212
PARP2_m20813567	434
PARP2_m20813590	1261
PARP2_p20811789	507
PARP2_p20811817	950
PARP2_p20813106	1561
PARP2_p20813157	871
PARP2_p20813224	2254
PARP2_p20813541	1560
PARP2_p20813556	1449
PARP2_p20813571	309
PARP3_m51977372	563
PARP3_m51977380	1172
PARP3_m51977386	1876
PARP3_m51977392	705
PARP3_m51977430	688
PARP3_m51977455	251
PARP3_p51977403	778
PARP3_p51977408	511
PARP3_p51977416	602
PARP3_p51977421	160
PARP4_m25072315	1029
PARP4_m25072336	724
PARP4_m25074466	793
PARP4_m25075772	2227
PARP4_m25075785	1764
PARP4_p25072327	501
PARP4_p25074474	564
PARP4_p25075775	403
PARP4_p25075791	226
PARP4_p25075881	1091
PARP9_m122274756	1917
PARP9_m122274820	826
PARP9_m122274839	903
PARP9_m122274856	952
PARP9_p122274722	1830
PARP9_p122274808	1405
PARP9_p122274845	581
PARP9_p122274906	2857
PARP9_p122274949	1110
PARP9_p122277287	608
PARPBP_m102517775	1540
PARPBP_m102542069	923
PARPBP_p102517674	714
PARPBP_p102517741	404
PARPBP_p102517761	909
PARPBP_p102517779	996
PARPBP_p102517797	563
PARPBP_p102542099	1267
PARPBP_p102542107	1010
PARPBP_p102547667	627
PASD1_m150773164	2946
PASD1_m150773173	829
PASD1_m150773193	1865
PASD1_p150770017	1085
PASD1_p150773135	302
PASD1_p150773184	1923
PASD1_p150780123	693
PASD1_p150780150	1957
PASD1_p150780167	565
PASD1_p150789391	1062
PASK_m242082292	3721
PASK_m242082416	1263
PASK_m242082438	1307
PASK_p242082294	153
PASK_p242082300	2203
PASK_p242082327	388
PASK_p242082340	691
PASK_p242082363	442
PASK_p242082389	1632
PASK_p242082402	1271
PATL1_m59426912	1198
PATL1_m59426930	1377
PATL1_m59434327	1182
PATL1_m59434336	1143
PATL1_m59434341	1800
PATL1_m59434387	1442
PATL1_m59434418	840
PATL1_m59436355	614
PATL1_p59434399	213
PATL1_p59436340	822
PATL2_m44967739	556
PATL2_m44967757	1248
PATL2_m44967829	569
PATL2_m44967847	0
PATL2_m44967873	1794
PATL2_m44968674	1039
PATL2_p44967724	536
PATL2_p44967729	361
PATL2_p44967741	655
PATL2_p44968657	581
PATZ1_m31741386	249
PATZ1_m31741448	492
PATZ1_m31741453	991
PATZ1_m31741536	1028
PATZ1_m31741553	1659
PATZ1_m31741562	1575
PATZ1_p31741396	518
PATZ1_p31741401	420
PATZ1_p31741515	364
PATZ1_p31741567	291
PAWR_m80083954	1256
PAWR_m80083963	823
PAWR_m80083995	1323
PAWR_m80084006	839
PAWR_m80084013	727
PAWR_p80083811	1261
PAWR_p80083821	1019
PAWR_p80083945	527
PAWR_p80083969	506
PAWR_p80083984	1303
PAX1_m21686451	16
PAX1_m21686457	773
PAX1_m21686490	1920
PAX1_m21686517	991
PAX1_p21686343	711
PAX1_p21686349	1064
PAX1_p21686375	290
PAX1_p21686380	943
PAX1_p21686459	501
PAX1_p21686521	1142
PAX2_m102506017	1947
PAX2_m102506044	2899
PAX2_m102506051	3650
PAX2_m102509556	1489
PAX2_m102509561	1123
PAX2_m102509596	1284
PAX2_p102509563	4504
PAX2_p102509569	2440
PAX2_p102509578	1982
PAX2_p102509604	1406
PAX3_m223161895	1059
PAX3_m223163251	565
PAX3_m223163265	1088
PAX3_m223163287	681
PAX3_m223163293	2262
PAX3_m223163298	3857
PAX3_m223163320	1190
PAX3_p223161887	1423
PAX3_p223161899	582
PAX3_p223163236	139
PAX4_m127255141	549
PAX4_m127255456	453
PAX4_m127255466	1094
PAX4_m127255484	1529
PAX4_m127255491	964
PAX4_m127255562	1508
PAX4_p127255458	1021
PAX4_p127255498	1065
PAX4_p127255509	335
PAX4_p127255514	157
PAX5_m37020704	923
PAX5_m37020720	1378
PAX5_m37020744	2614
PAX5_m37020775	1990
PAX5_m37020791	1121
PAX5_p37020708	754
PAX5_p37020722	1566
PAX5_p37033971	1119
PAX5_p37033978	1619
PAX5_p37033984	1074
PAX6_m31824287	1244
PAX6_m31824328	3913
PAX6_m31824338	227
PAX6_m31824357	541
PAX6_m31824375	1226
PAX6_p31824255	775
PAX6_p31824260	1034
PAX6_p31824295	606
PAX6_p31824306	2197
PAX6_p31824312	42
PAX7_m18958107	782
PAX7_m18958112	1015
PAX7_m18958161	294
PAX7_m18958174	256
PAX7_m18960806	327
PAX7_p18958091	1314
PAX7_p18958096	411
PAX7_p18958117	795
PAX7_p18958123	889
PAX7_p18960812	656
PAX8_m114004436	284
PAX8_m114004442	1294
PAX8_m114004470	203
PAX8_m114004488	810
PAX8_p114004406	1320
PAX8_p114004420	1063
PAX8_p114004426	1041
PAX8_p114004472	83
PAX8_p114035935	1039
PAX8_p114035945	1220
PAX9_m37132126	1066
PAX9_m37132163	2718
PAX9_m37132197	460
PAX9_m37132210	470
PAX9_p37132128	1326
PAX9_p37132152	1555
PAX9_p37132165	1692
PAX9_p37132171	1248
PAX9_p37132180	1101
PAX9_p37132215	1178
PAXBP1_m34143866	661
PAXBP1_m34143872	612
PAXBP1_m34143900	1178
PAXBP1_m34143906	2687
PAXBP1_m34143918	607
PAXBP1_m34143927	438
PAXBP1_m34143943	646
PAXBP1_m34143960	427
PAXBP1_p34143910	1117
PAXBP1_p34143951	795
PAXIP1_m154790416	748
PAXIP1_m154790421	527
PAXIP1_m154790474	1098
PAXIP1_m154794560	1608
PAXIP1_m154794577	336
PAXIP1_m154794600	1769
PAXIP1_m154794629	962
PAXIP1_p154790431	1270
PAXIP1_p154794592	990
PAXIP1_p154794608	429
PBK_m27680693	1046
PBK_m27685647	3409
PBK_m27685654	1977
PBK_m27685660	1048
PBK_m27690624	1553
PBK_p27680579	2923
PBK_p27680650	1482
PBK_p27680695	2291
PBK_p27685663	2387
PBK_p27685678	1869
PBRM1_m52712570	1519
PBRM1_m52713631	2220
PBRM1_p52712562	512
PBRM1_p52712579	1728
PBRM1_p52712586	877
PBRM1_p52713581	3047
PBRM1_p52713589	2968
PBRM1_p52713636	1121
PBRM1_p52713697	947
PBRM1_p52713706	516
PBX1_m164529074	1067
PBX1_m164529119	1359
PBX1_m164529124	2118
PBX1_m164529226	2203
PBX1_m164532508	1170
PBX1_p164529054	779
PBX1_p164529167	1866
PBX1_p164529211	1770
PBX1_p164529217	1867
PBX1_p164529228	3221
PBX2_m32155533	355
PBX2_m32156050	418
PBX2_m32156270	1322
PBX2_m32157591	823
PBX2_p32155411	656
PBX2_p32155731	129
PBX2_p32155737	934
PBX2_p32155746	1687
PBX2_p32155765	704
PBX2_p32156038	923
PBX3_m128510862	2630
PBX3_m128677985	831
PBX3_m128678009	1772
PBX3_m128678096	0
PBX3_m128678105	661
PBX3_m128678153	497
PBX3_p128677957	1320
PBX3_p128677971	1004
PBX3_p128678047	977
PBX3_p128678076	392
PBX4_m19710112	3003
PBX4_m19710152	2941
PBX4_m19729326	1881
PBX4_m19729359	3402
PBX4_p19710120	2570
PBX4_p19710133	2346
PBX4_p19729317	3796
PBX4_p19729350	1093
PBX4_p19729368	1319
PBX4_p19729376	267
PBXIP1_m154924360	1479
PBXIP1_m154924377	2044
PBXIP1_m154924387	618
PBXIP1_m154926148	1336
PBXIP1_m154926156	1053
PBXIP1_p154924343	465
PBXIP1_p154924350	406
PBXIP1_p154924368	229
PBXIP1_p154926162	282
PBXIP1_p154926167	598
PCBD1_m72644958	1029
PCBD1_m72644967	1986
PCBD1_m72644983	959
PCBD1_m72645556	129
PCBD1_m72645621	1160
PCBD1_m72645658	2505
PCBD1_m72645671	3104
PCBD1_p72645569	1191
PCBD1_p72645577	1280
PCBD1_p72645625	1589
PCBD2_p134240816	1411
PCBD2_p134240823	738
PCBD2_p134240855	494
PCBD2_p134240865	691
PCBD2_p134240877	1449
PCBD2_p134240885	1744
PCBD2_p134240891	1356
PCBD2_p134246009	1155
PCBD2_p134246019	438
PCBD2_p134246032	1220
PCBP1_m70314876	555
PCBP1_p70314863	511
PCBP1_p70314878	355
PCBP1_p70314903	1185
PCBP1_p70314917	1069
PCBP1_p70314922	502
PCBP1_p70314941	2715
PCBP1_p70314950	1867
PCBP1_p70314976	229
PCBP1_p70314983	91
PCBP2_m53848630	706
PCBP2_m53849734	1019
PCBP2_m53849756	1752
PCBP2_m53853077	2022
PCBP2_p53848572	521
PCBP2_p53848584	829
PCBP2_p53848612	1101
PCBP2_p53849132	1346
PCBP2_p53849255	395
PCBP2_p53853165	328
PCBP3_m47316140	1831
PCBP3_m47316153	780
PCBP3_m47316163	1222
PCBP3_m47316172	2211
PCBP3_m47316179	1950
PCBP3_m47316185	1376
PCBP3_p47316112	420
PCBP3_p47316188	2202
PCBP3_p47316197	1187
PCBP3_p47316207	855
PCF11_m82868536	519
PCF11_m82868567	151
PCF11_m82868572	402
PCF11_m82868586	93
PCF11_m82868605	364
PCF11_m82868614	130
PCF11_p82868477	343
PCF11_p82868483	577
PCF11_p82868518	455
PCF11_p82868594	599
PCGF1_m74734204	148
PCGF1_m74734215	1089
PCGF1_m74734704	2214
PCGF1_m74734711	1582
PCGF1_m74734750	853
PCGF1_m74734781	2069
PCGF1_p74734694	1607
PCGF1_p74734716	1626
PCGF1_p74734722	898
PCGF1_p74734752	415
PCGF2_m36895471	2053
PCGF2_m36896561	2382
PCGF2_m36896592	970
PCGF2_m36896640	1603
PCGF2_p36895832	1070
PCGF2_p36895837	927
PCGF2_p36895864	2688
PCGF2_p36895887	912
PCGF2_p36895903	1225
PCGF2_p36896547	922
PCGF3_m727522	1393
PCGF3_m727551	1963
PCGF3_m727563	1257
PCGF3_p727458	1414
PCGF3_p727473	1111
PCGF3_p727511	13
PCGF3_p727534	213
PCGF3_p728704	2032
PCGF3_p728714	2391
PCGF3_p728726	2543
PCGF5_m92982638	168
PCGF5_m92982670	1540
PCGF5_m92982712	1471
PCGF5_m92982732	960
PCGF5_p92982620	1908
PCGF5_p92982630	622
PCGF5_p92982673	1034
PCGF5_p92982702	1330
PCGF5_p93000270	1978
PCGF5_p93000275	2484
PCGF6_m105110477	141
PCGF6_m105110486	875
PCGF6_m105110552	90
PCGF6_m105110573	247
PCGF6_m105110579	855
PCGF6_m105110585	1271
PCGF6_m105110672	370
PCGF6_m105110788	564
PCGF6_m105110818	863
PCGF6_p105110695	1394
PCIF1_m44567666	1652
PCIF1_m44567697	995
PCIF1_m44567705	608
PCIF1_m44567718	1360
PCIF1_m44567723	1766
PCIF1_m44567731	2853
PCIF1_m44567737	2900
PCIF1_p44567635	922
PCIF1_p44567740	1729
PCIF1_p44567839	838
PCM1_m17793140	849
PCM1_m17793173	869
PCM1_m17794655	653
PCM1_p17793107	1161
PCM1_p17793113	2103
PCM1_p17793128	326
PCM1_p17793142	290
PCM1_p17793156	905
PCM1_p17793180	1562
PCM1_p17793193	1636
PCNA_m5100288	189
PCNA_m5100305	845
PCNA_m5100326	782
PCNA_m5100346	2
PCNA_m5100404	104
PCNA_m5100421	482
PCNA_p5100293	159
PCNA_p5100314	473
PCNA_p5100389	104
PCNA_p5100423	361
PCNT_m47744185	399
PCNT_m47746388	1164
PCNT_p47744143	1456
PCNT_p47744153	543
PCNT_p47744159	1654
PCNT_p47744164	972
PCNT_p47744174	405
PCNT_p47746346	1847
PCNT_p47746367	1293
PCNT_p47746379	1587
PDCD11_m105158211	545
PDCD11_m105158233	251
PDCD11_m105158240	1158
PDCD11_m105160253	40
PDCD11_m105162878	185
PDCD11_p105158173	1180
PDCD11_p105160263	1219
PDCD11_p105162864	1647
PDCD11_p105162906	815
PDCD11_p105162912	162
PDCD2L_m34895336	976
PDCD2L_m34895345	1607
PDCD2L_m34895356	1064
PDCD2L_m34895370	1008
PDCD2L_m34895398	1521
PDCD2L_m34895407	2233
PDCD2L_p34895361	1540
PDCD2L_p34895409	617
PDCD2L_p34895421	1328
PDCD2L_p34895549	837
PDCD2_m170893463	1333
PDCD2_m170893617	373
PDCD2_m170893623	481
PDCD2_p170893422	371
PDCD2_p170893433	834
PDCD2_p170893442	665
PDCD2_p170893595	1648
PDCD2_p170893606	1532
PDCD2_p170893625	735
PDCD2_p170893630	646
PDCD4_m112641092	906
PDCD4_m112641200	969
PDCD4_p112641056	1143
PDCD4_p112641099	1440
PDCD4_p112641145	224
PDCD4_p112641153	949
PDCD4_p112641166	1904
PDCD4_p112641187	1850
PDCD4_p112641213	1975
PDCD4_p112641218	1437
PDCD5_m33072168	1028
PDCD5_p33072157	1160
PDCD5_p33072174	1069
PDCD5_p33072183	792
PDCD5_p33072199	1575
PDCD5_p33072209	129
PDCD5_p33073093	1814
PDCD5_p33075873	683
PDCD5_p33075882	1367
PDCD5_p33075888	384
PDCD6IP_m33840270	1052
PDCD6IP_m33840275	968
PDCD6IP_m33840280	687
PDCD6IP_m33840332	434
PDCD6IP_m33840342	1859
PDCD6IP_p33840216	2510
PDCD6IP_p33840249	2338
PDCD6IP_p33840261	1295
PDCD6IP_p33840292	449
PDCD6IP_p33840324	431
PDCD6_m271835	1299
PDCD6_m271872	805
PDCD6_m311414	394
PDCD6_m311426	1515
PDCD6_m311432	795
PDCD6_p311392	0
PDCD6_p311437	470
PDCD6_p311442	1609
PDCD6_p311447	1047
PDCD6_p311477	1129
PDCD7_m65425875	423
PDCD7_m65426084	358
PDCD7_p65425905	472
PDCD7_p65425936	978
PDCD7_p65425994	799
PDCD7_p65426027	1135
PDCD7_p65426033	779
PDCD7_p65426039	1824
PDCD7_p65426087	493
PDCD7_p65426092	2212
PDC_m186413502	371
PDC_m186413598	702
PDC_m186415559	3199
PDC_m186415577	462
PDC_m186415596	1880
PDC_p186413504	1262
PDC_p186413550	618
PDC_p186413562	606
PDC_p186413589	451
PDC_p186415582	315
PDE1B_p54960748	1767
PDE1B_p54960760	927
PDE1B_p54960767	1207
PDE1B_p54960823	294
PDE1B_p54960849	356
PDE1B_p54962961	2950
PDE1B_p54962976	927
PDE1B_p54962984	887
PDE1B_p54963003	425
PDE1B_p54963011	1621
PDE2A_m72316221	2034
PDE2A_m72316230	1146
PDE2A_m72316244	1201
PDE2A_m72319757	747
PDE2A_m72319778	1917
PDE2A_p72316234	620
PDE2A_p72319690	199
PDE2A_p72319731	2213
PDE2A_p72319768	862
PDE2A_p72353295	2640
PDE4B_m66798251	342
PDE4B_m66798262	37
PDE4B_m66798271	1408
PDE4B_m66821229	1648
PDE4B_m66821244	488
PDE4B_p66798206	362
PDE4B_p66798217	996
PDE4B_p66798253	1781
PDE4B_p66798281	2484
PDE4B_p66821250	1849
PDE4DIP_m144994592	0
PDE4DIP_m144994607	2063
PDE4DIP_m144994619	2082
PDE4DIP_m144994643	143
PDE4DIP_p144923797	1666
PDE4DIP_p144994625	737
PDE4DIP_p144994646	1750
PDE4DIP_p144994667	1755
PDE4DIP_p144994676	678
PDE4DIP_p144994682	775
PDGFC_m157771503	1023
PDGFC_m157771522	123
PDGFC_m157892002	250
PDGFC_m157892014	1603
PDGFC_m157892044	670
PDGFC_p157771534	1015
PDGFC_p157891935	342
PDGFC_p157891962	1388
PDGFC_p157892027	1576
PDGFC_p157892036	578
PDGFRA_m55124948	2386
PDGFRA_m55124953	1514
PDGFRA_m55127271	1764
PDGFRA_m55127277	1431
PDGFRA_m55127283	2372
PDGFRA_m55127392	497
PDGFRA_p55124940	1040
PDGFRA_p55124962	2102
PDGFRA_p55127397	1556
PDGFRA_p55127463	2240
PDGFRB_m149515389	4328
PDGFRB_m149515408	683
PDGFRB_m149516599	198
PDGFRB_p149515341	1701
PDGFRB_p149515380	1665
PDGFRB_p149515396	682
PDGFRB_p149516555	1358
PDGFRB_p149516566	2795
PDGFRB_p149516578	1237
PDGFRB_p149516589	1745
PDIK1L_m26440813	943
PDIK1L_m26440846	2498
PDIK1L_m26440890	3902
PDIK1L_m26440950	1531
PDIK1L_m26440987	2283
PDIK1L_p26440816	3337
PDIK1L_p26440826	2775
PDIK1L_p26440835	378
PDIK1L_p26440875	1117
PDIK1L_p26440941	359
PDK1_m173420942	1511
PDK1_m173420985	2055
PDK1_m173420993	856
PDK1_p173420865	1680
PDK1_p173420870	3844
PDK1_p173420881	1294
PDK1_p173420892	2995
PDK1_p173420952	1240
PDK1_p173420964	1569
PDK1_p173420977	1451
PDK2_m48174877	2136
PDK2_m48174884	419
PDK2_m48174889	391
PDK2_m48174905	352
PDK2_m48182749	1048
PDK2_p48174895	988
PDK2_p48182731	1704
PDK2_p48182740	996
PDK2_p48182755	954
PDK2_p48182764	312
PDK3_m24483586	317
PDK3_m24483605	1220
PDK3_m24483611	632
PDK3_m24483644	2477
PDK3_m24483650	2061
PDK3_m24483657	3442
PDK3_m24512914	941
PDK3_p24483564	1025
PDK3_p24512883	1266
PDK3_p24512897	773
PDK4_m95224398	1871
PDK4_m95225477	1046
PDK4_m95225484	892
PDK4_m95225550	582
PDK4_m95225555	2279
PDK4_m95225561	1263
PDK4_m95225573	1263
PDK4_m95225598	2601
PDK4_p95224400	2037
PDK4_p95225520	478
PDLIM1_m97031500	310
PDLIM1_m97031525	437
PDLIM1_m97050579	1242
PDLIM1_m97050608	690
PDLIM1_m97050640	1151
PDLIM1_p97050564	509
PDLIM1_p97050571	952
PDLIM1_p97050599	1299
PDLIM1_p97050642	949
PDLIM1_p97050651	1892
PDLIM2_m22438188	834
PDLIM2_m22438195	664
PDLIM2_p22438107	1186
PDLIM2_p22438116	2009
PDLIM2_p22438121	760
PDLIM2_p22438133	635
PDLIM2_p22438179	584
PDLIM2_p22438880	2293
PDLIM2_p22438907	4716
PDLIM2_p22438912	1100
PDPK1_m2588113	1115
PDPK1_m2588126	1562
PDPK1_m2636690	424
PDPK1_m2636696	2303
PDPK1_m2636725	2675
PDPK1_m2636767	1828
PDPK1_p2588115	1720
PDPK1_p2636679	1522
PDPK1_p2636735	418
PDPK1_p2636786	1422
PDPN_m13933727	712
PDPN_m13933732	1788
PDPN_m13933739	1138
PDPN_m13933759	1830
PDPN_m13933766	2089
PDPN_m13933776	1081
PDPN_p13933711	2680
PDPN_p13933779	717
PDPN_p13936887	1930
PDPN_p13936901	1660
PDS5A_m39978085	899
PDS5A_m39978117	1107
PDS5A_m39978137	553
PDS5A_m39978156	189
PDS5A_p39978065	444
PDS5A_p39978077	1077
PDS5A_p39978119	925
PDS5A_p39978139	1435
PDS5A_p39978146	560
PDS5A_p39978164	518
PDS5B_m33226008	2349
PDS5B_m33226048	682
PDS5B_m33226131	963
PDS5B_m33232637	1002
PDS5B_m33233314	2376
PDS5B_p33222907	1173
PDS5B_p33222918	3418
PDS5B_p33222995	2229
PDS5B_p33232386	2453
PDS5B_p33232421	1615
PDX1_m28494276	334
PDX1_m28494306	1097
PDX1_m28494346	1049
PDX1_p28494260	652
PDX1_p28494265	806
PDX1_p28494280	2221
PDX1_p28494298	930
PDX1_p28494320	1659
PDX1_p28494325	3079
PDX1_p28494331	1977
PDXK_m45139192	236
PDXK_m45139203	484
PDXK_m45139240	2029
PDXK_m45139248	1006
PDXK_m45139255	513
PDXK_m45153999	1859
PDXK_p45139170	863
PDXK_p45139210	1072
PDXK_p45139218	1143
PDXK_p45153951	691
PDZD2_m31799361	530
PDZD2_m31799368	1076
PDZD2_m31799395	725
PDZD2_m31799405	531
PDZD2_m31799462	627
PDZD2_m31799470	1183
PDZD2_p31799348	953
PDZD2_p31799412	1309
PDZD2_p31799441	835
PDZD2_p31799489	874
PDZD7_m102789884	479
PDZD7_m102789893	960
PDZD7_m102789935	868
PDZD7_m102789941	1066
PDZD7_m102789956	2332
PDZD7_m102789968	2398
PDZD7_p102789898	624
PDZD7_p102789906	828
PDZD7_p102789915	404
PDZD7_p102789923	498
PEAK1_m77474095	1505
PEAK1_m77474103	3127
PEAK1_m77474149	2525
PEAK1_m77474227	2902
PEAK1_p77474087	1325
PEAK1_p77474106	1404
PEAK1_p77474136	1625
PEAK1_p77474155	627
PEAK1_p77474206	1141
PEAK1_p77474229	70
PEG10_m94292875	1358
PEG10_m94292957	646
PEG10_m94292998	461
PEG10_m94293023	474
PEG10_p94292903	903
PEG10_p94292918	3242
PEG10_p94292945	1181
PEG10_p94292963	1169
PEG10_p94292990	1980
PEG10_p94293033	1011
PEG3_m57334183	604
PEG3_m57334192	4336
PEG3_m57334198	252
PEG3_m57334959	1235
PEG3_m57335006	900
PEG3_m57335631	1754
PEG3_p57334948	830
PEG3_p57334967	3647
PEG3_p57334984	583
PEG3_p57335617	623
PELI1_m64327572	771
PELI1_m64327587	131
PELI1_m64331836	493
PELI1_m64331845	816
PELI1_m64331927	2057
PELI1_m64331934	171
PELI1_m64331943	247
PELI1_m64335375	1868
PELI1_p64327593	771
PELI1_p64331852	1302
PELO_m52096229	1074
PELO_m52096289	855
PELO_m52096297	99
PELO_m52096323	140
PELO_p52096220	857
PELO_p52096236	1642
PELO_p52096245	1401
PELO_p52096251	1473
PELO_p52096260	324
PELO_p52096308	428
PELP1_m4607260	259
PELP1_m4607281	736
PELP1_m4607294	717
PELP1_m4607313	680
PELP1_m4607320	74
PELP1_m4607361	242
PELP1_m4607366	22
PELP1_m4607375	300
PELP1_m4607385	422
PELP1_p4607285	566
PER1_m8053794	638
PER1_m8053836	1080
PER1_m8053850	1132
PER1_m8053914	1191
PER1_p8053784	1644
PER1_p8053862	341
PER1_p8053868	1350
PER1_p8053877	666
PER1_p8053882	927
PER1_p8053887	1841
PER2_m239186395	1979
PER2_m239186461	1810
PER2_m239186470	1792
PER2_m239186564	1843
PER2_m239186572	1236
PER2_p239186442	383
PER2_p239186476	1346
PER2_p239186483	1028
PER2_p239186488	446
PER2_p239186514	166
PER3_m7845024	0
PER3_m7845499	1988
PER3_m7845573	611
PER3_m7845610	4184
PER3_m7845626	1616
PER3_m7845635	488
PER3_p7844984	1947
PER3_p7845026	1186
PER3_p7845043	1784
PER3_p7845521	523
PERP_m138428289	1105
PERP_m138428310	1012
PERP_m138428316	429
PERP_m138428336	869
PERP_m138428355	680
PERP_m138428466	1238
PERP_p138428276	842
PERP_p138428299	611
PERP_p138428321	458
PERP_p138428359	1305
PES1_m30985190	1201
PES1_m30985212	1897
PES1_m30985224	497
PES1_m30985249	1069
PES1_m30987798	1281
PES1_m30987815	143
PES1_p30985202	290
PES1_p30985215	2451
PES1_p30985238	1036
PES1_p30987789	451
PEX14_m10535033	870
PEX14_m10555333	291
PEX14_m10555366	484
PEX14_m10596268	1793
PEX14_p10535013	828
PEX14_p10535019	260
PEX14_p10535037	1374
PEX14_p10555324	991
PEX14_p10555356	1175
PEX14_p10596256	910
PEX19_m160252826	924
PEX19_m160252844	1210
PEX19_m160254850	889
PEX19_m160254859	517
PEX19_m160254884	1309
PEX19_m160254897	886
PEX19_p160252871	1306
PEX19_p160253314	1038
PEX19_p160253327	484
PEX19_p160254887	948
PEX1_m92151511	299
PEX1_m92151538	2090
PEX1_m92151543	1027
PEX1_m92157643	473
PEX1_m92157653	423
PEX1_m92157719	1401
PEX1_p92157616	885
PEX1_p92157633	319
PEX1_p92157662	2400
PEX1_p92157668	2464
PEX2_m77896233	3825
PEX2_m77896251	424
PEX2_m77896276	616
PEX2_m77896329	305
PEX2_m77896335	1141
PEX2_m77896356	1420
PEX2_p77896256	488
PEX2_p77896287	1024
PEX2_p77896308	1109
PEX2_p77896338	901
PEX3_m143772235	1851
PEX3_m143772247	1262
PEX3_m143780299	2485
PEX3_m143780333	806
PEX3_p143772165	2160
PEX3_p143772174	3103
PEX3_p143772220	968
PEX3_p143772227	669
PEX3_p143780213	882
PEX3_p143780254	599
PFDN5_m53691644	528
PFDN5_p53689353	128
PFDN5_p53689404	1332
PFDN5_p53691624	382
PFDN5_p53691662	2448
PFDN5_p53691669	1579
PFDN5_p53691686	366
PFDN5_p53691815	845
PFDN5_p53691824	1190
PFDN5_p53691838	865
PFN1_m4849276	701
PFN1_m4849965	603
PFN1_m4850096	191
PFN1_m4850104	214
PFN1_m4851595	777
PFN1_m4851652	474
PFN1_p4849914	605
PFN1_p4851582	289
PFN1_p4851662	331
PFN1_p4851668	692
PFN3_m176827469	431
PFN3_m176827475	1446
PFN3_m176827483	2970
PFN3_m176827501	2315
PFN3_m176827509	1389
PFN3_m176827540	885
PFN3_m176827564	1257
PFN3_p176827441	486
PFN3_p176827493	1519
PFN3_p176827513	1217
PGAM2_m44104926	1433
PGAM2_m44104944	1796
PGAM2_m44105056	469
PGAM2_m44105101	591
PGAM2_m44105106	1831
PGAM2_p44104963	330
PGAM2_p44104975	1798
PGAM2_p44104981	1483
PGAM2_p44105046	660
PGAM2_p44105091	1603
PGAP2_m3832529	1498
PGAP2_m3832559	1657
PGAP2_m3832579	4683
PGAP2_m3832605	1164
PGAP2_p3832514	1649
PGAP2_p3832533	733
PGAP2_p3832539	1788
PGAP2_p3832545	2272
PGAP2_p3832586	154
PGAP2_p3832608	202
PGBD1_m28251637	504
PGBD1_m28251662	966
PGBD1_m28251702	271
PGBD1_p28251587	1304
PGBD1_p28251628	1098
PGBD1_p28251645	3090
PGBD1_p28251652	486
PGBD1_p28251667	2115
PGBD1_p28251688	1772
PGBD1_p28251711	163
PGC_m41712489	1350
PGC_m41712498	1582
PGC_m41712505	1370
PGC_m41715020	251
PGC_m41715029	493
PGC_m41715050	720
PGC_m41715056	1358
PGC_m41715062	2258
PGC_p41712457	1174
PGC_p41712517	0
PGRMC1_m118370360	1288
PGRMC1_m118370365	299
PGRMC1_m118370421	1830
PGRMC1_m118370436	1430
PGRMC1_m118370448	1699
PGRMC1_p118370316	1231
PGRMC1_p118370322	1588
PGRMC1_p118370332	1548
PGRMC1_p118370352	1432
PGRMC1_p118370410	364
PGR_m100922236	2727
PGR_m100922249	1443
PGR_m100962492	2226
PGR_m100962502	1818
PGR_m100962507	541
PGR_m100962585	1131
PGR_m100996739	1941
PGR_p100922251	966
PGR_p100962475	1179
PGR_p100962516	1738
PHACTR1_m12749882	2345
PHACTR1_m12749890	3099
PHACTR1_m12749897	1220
PHACTR1_m12749904	1357
PHACTR1_m12749923	565
PHACTR1_p12719011	355
PHACTR1_p12719048	950
PHACTR1_p12719057	336
PHACTR1_p12749860	782
PHACTR1_p12749906	978
PHACTR3_m58318225	2135
PHACTR3_m58318251	843
PHACTR3_p58318180	1544
PHACTR3_p58318187	923
PHACTR3_p58318234	1897
PHACTR3_p58318239	241
PHACTR3_p58318254	593
PHACTR3_p58318260	378
PHACTR3_p58318301	465
PHACTR3_p58322807	1619
PHAX_m125936697	774
PHAX_m125936709	1738
