gRNA	KBM7.final
ING1_m111371684	1648
ING1_m111371720	2643
ING1_p111371663	1001
ING1_p111371669	2404
ING1_p111371702	2053
ING1_p111371711	95
ING1_p111371728	2682
ING1_p111371735	1633
ING1_p111371759	2467
ING2_m184426413	3157
ING2_m184426424	2527
ING2_m184426443	557
ING2_m184426466	1272
ING2_p184426333	1323
ING2_p184426362	821
ING2_p184426378	1194
ING2_p184426431	413
ING2_p184426482	608
ING2_p184426498	1917
ING3_m120590961	637
ING3_m120591234	305
ING3_m120591251	58
ING3_m120591278	86
ING3_p120590952	899
ING3_p120591215	883
ING3_p120591223	155
ING3_p120591236	135
ING3_p120591260	707
ING3_p120593343	942
ING4_m6762427	413
ING4_m6762438	1569
ING4_m6762445	941
ING4_m6762456	1175
ING4_m6762538	2147
ING4_m6762556	1103
ING4_p6762392	2332
ING4_p6762460	725
ING4_p6762490	1211
ING4_p6762512	1773
ING5_m242641490	174
ING5_m242644084	205
ING5_m242644128	151
ING5_m242648655	1617
ING5_p242641479	617
ING5_p242644076	506
ING5_p242644101	2170
ING5_p242644109	551
ING5_p242644117	303
ING5_p242648634	363
INHA_m220437110	1539
INHA_m220437134	294
INHA_m220437172	1838
INHA_m220437190	2663
INHA_m220437228	676
INHA_m220437318	41
INHA_p220437164	498
INHA_p220437175	2515
INHA_p220437197	1336
INHA_p220437305	206
INHBA_m41739839	971
INHBA_m41739854	1274
INHBA_m41739918	766
INHBA_m41739930	3086
INHBA_m41739941	567
INHBA_m41739960	972
INHBA_p41739820	3893
INHBA_p41739825	1033
INHBA_p41739844	1887
INHBA_p41739945	2425
INO80B_m74682293	735
INO80B_m74682541	474
INO80B_m74682554	2164
INO80B_m74682565	1269
INO80B_p74682238	344
INO80B_p74682243	822
INO80B_p74682255	2090
INO80B_p74682521	118
INO80B_p74682533	200
INO80B_p74682546	869
INO80C_m33077736	1068
INO80C_m33077797	1258
INO80C_m33077816	501
INO80C_p33077738	550
INO80C_p33077746	2833
INO80C_p33077765	649
INO80C_p33077775	571
INO80C_p33077781	444
INO80C_p33077787	533
INO80C_p33077800	1483
INO80D_m206921640	1193
INO80D_m206921647	614
INO80D_m206927580	2422
INO80D_m206927616	1737
INO80D_m206927648	358
INO80D_m206927709	582
INO80D_m206927731	1606
INO80D_p206927518	170
INO80D_p206927554	1174
INO80D_p206927653	1215
INO80E_m30007678	435
INO80E_m30007705	924
INO80E_m30007884	589
INO80E_p30007616	300
INO80E_p30007621	517
INO80E_p30007628	1331
INO80E_p30007863	1042
INO80E_p30007874	401
INO80E_p30007886	454
INO80E_p30007899	1396
INO80_m41388367	795
INO80_m41388379	1638
INO80_m41388417	280
INO80_m41388429	549
INO80_m41388462	1005
INO80_m41388476	464
INO80_m41388494	881
INO80_m41388501	1075
INO80_p41388466	75
INO80_p41388481	88
INPP5K_m1412609	3619
INPP5K_m1412978	1581
INPP5K_m1413073	1687
INPP5K_p1412598	403
INPP5K_p1412969	841
INPP5K_p1413002	754
INPP5K_p1413009	1087
INPP5K_p1413027	1843
INPP5K_p1413044	194
INPP5K_p1416741	2170
INSC_m15170746	1116
INSC_m15170757	2038
INSC_m15170763	2707
INSC_m15170768	1523
INSC_m15197295	1753
INSC_m15197316	2074
INSC_p15170714	3593
INSC_p15170728	1476
INSC_p15197280	955
INSC_p15197300	1926
INSM1_m20348918	582
INSM1_m20348928	994
INSM1_m20348956	354
INSM1_m20348994	3218
INSM1_m20349098	1773
INSM1_m20349113	1455
INSM1_m20349199	1152
INSM1_m20349205	751
INSM1_p20348945	225
INSM1_p20348998	763
INSRR_m156824065	1403
INSRR_m156828330	1982
INSRR_m156828343	3390
INSRR_m156828348	2421
INSRR_m156828388	1398
INSRR_m156828395	1267
INSRR_p156824067	1178
INSRR_p156828322	1278
INSRR_p156828335	1537
INSRR_p156828351	2011
INSR_m7267859	2512
INSR_m7267887	2873
INSR_m7267895	1068
INSR_m7293825	2083
INSR_m7293834	129
INSR_m7293893	2352
INSR_p7267865	3221
INSR_p7267878	947
INSR_p7293843	1158
INSR_p7293848	4321
INTS10_m19675091	48
INTS10_m19675105	217
INTS10_m19675145	49
INTS10_p19675038	454
INTS10_p19675070	3090
INTS10_p19675077	339
INTS10_p19675094	174
INTS10_p19675109	393
INTS10_p19675119	1103
INTS10_p19675137	63
INTS12_m106614623	884
INTS12_m106616728	323
INTS12_m106616733	590
INTS12_m106616745	1551
INTS12_m106621041	612
INTS12_m106621047	1444
INTS12_m106621143	837
INTS12_p106614578	497
INTS12_p106614587	306
INTS12_p106616735	683
INTS1_m1542782	979
INTS1_m1542787	1587
INTS1_m1542796	1699
INTS1_m1543566	1697
INTS1_p1542715	1900
INTS1_p1543527	473
INTS1_p1543533	442
INTS1_p1543539	883
INTS1_p1543544	1017
INTS1_p1543568	1042
INTS2_m60003802	520
INTS2_m60003833	308
INTS2_m60003839	1779
INTS2_m60003875	698
INTS2_m60003884	221
INTS2_m60003929	1695
INTS2_p60003824	633
INTS2_p60003867	270
INTS2_p60003889	218
INTS2_p60003908	991
INTS3_m153701231	1336
INTS3_m153701243	1195
INTS3_p153701103	1132
INTS3_p153701136	1116
INTS3_p153701145	1292
INTS3_p153701152	995
INTS3_p153701158	172
INTS3_p153701214	884
INTS3_p153701223	2017
INTS3_p153701235	994
INTS4_m77702206	882
INTS4_m77702219	1678
INTS4_m77705637	587
INTS4_m77705643	192
INTS4_m77705667	382
INTS4_p77702232	807
INTS4_p77702260	182
INTS4_p77702280	624
INTS4_p77702322	1311
INTS4_p77705655	329
INTS5_m62417394	198
INTS5_m62417445	575
INTS5_m62417454	1534
INTS5_m62417466	1402
INTS5_m62420697	2074
INTS5_p62417398	652
INTS5_p62420626	0
INTS5_p62420631	579
INTS5_p62420639	1190
INTS5_p62420669	1655
INTS6_m52026181	1127
INTS6_m52026552	120
INTS6_m52026575	1198
INTS6_m52026582	1145
INTS6_m52026602	874
INTS6_p52026538	542
INTS6_p52026556	2070
INTS6_p52026567	532
INTS6_p52026585	874
INTS6_p52026594	1875
INTS7_m212194535	2381
INTS7_m212208694	736
INTS7_m212208700	1983
INTS7_m212208721	1003
INTS7_m212208727	791
INTS7_m212208741	1593
INTS7_m212208751	2252
INTS7_p212194460	310
INTS7_p212208682	420
INTS7_p212208730	1138
INTS8_m95835682	3067
INTS8_m95835693	184
INTS8_m95835715	452
INTS8_m95835726	319
INTS8_m95837125	1556
INTS8_m95837131	365
INTS8_p95835652	561
INTS8_p95835660	2515
INTS8_p95835739	608
INTS8_p95835766	169
INTS9_m28707731	1102
INTS9_m28707737	913
INTS9_m28707765	534
INTS9_m28717001	62
INTS9_m28717006	18
INTS9_p28707748	1343
INTS9_p28707756	2659
INTS9_p28716943	1456
INTS9_p28716949	312
INTS9_p28716962	493
INVS_m102866823	2888
INVS_m102866870	269
INVS_p102866812	682
INVS_p102866854	4875
INVS_p102866862	187
INVS_p102866876	1082
INVS_p102866887	517
INVS_p102888678	2600
INVS_p102888707	1043
INVS_p102888719	2188
IP6K1_m49765690	1826
IP6K1_m49770241	474
IP6K1_m49770327	714
IP6K1_p49765681	730
IP6K1_p49765692	1296
IP6K1_p49770214	876
IP6K1_p49770221	983
IP6K1_p49770227	367
IP6K1_p49770265	1360
IP6K1_p49770272	1272
IP6K2_m48732646	331
IP6K2_m48732651	741
IP6K2_m48732669	1082
IP6K2_m48732708	2103
IP6K2_p48732566	1003
IP6K2_p48732573	1397
IP6K2_p48732603	516
IP6K2_p48732661	548
IP6K2_p48732691	1291
IP6K2_p48732696	3006
IP6K3_m33703087	561
IP6K3_m33703141	2078
IP6K3_m33703178	977
IP6K3_m33703183	2306
IP6K3_m33703201	1574
IP6K3_p33703044	620
IP6K3_p33703068	2409
IP6K3_p33703073	1094
IP6K3_p33703096	622
IP6K3_p33703105	511
IPMK_m59976010	389
IPMK_m59986805	1808
IPMK_m60027197	320
IPMK_m60027240	271
IPMK_m60027304	811
IPMK_p59986795	1506
IPMK_p60027188	367
IPMK_p60027205	545
IPMK_p60027229	511
IPMK_p60027252	987
IPO11_m61733107	242
IPO11_m61733158	100
IPO11_m61733187	1381
IPO11_m61733223	52
IPO11_m61738822	1224
IPO11_p61733120	1401
IPO11_p61733132	229
IPO11_p61733144	1189
IPO11_p61733189	125
IPO11_p61733202	1692
IPO13_m44413327	145
IPO13_m44415099	670
IPO13_m44415115	136
IPO13_p44413258	385
IPO13_p44413265	2213
IPO13_p44413274	105
IPO13_p44413307	2331
IPO13_p44413319	51
IPO13_p44413334	159
IPO13_p44415125	66
IPO5_m98628963	451
IPO5_m98628988	630
IPO5_m98629013	813
IPO5_p98622021	1200
IPO5_p98622031	2128
IPO5_p98628931	1093
IPO5_p98628937	1065
IPO5_p98628943	2952
IPO5_p98628973	1970
IPO5_p98629018	612
IPO7_m9406362	127
IPO7_m9406374	130
IPO7_m9406384	134
IPO7_m9424905	587
IPO7_m9430168	2035
IPO7_m9430175	0
IPO7_m9431473	292
IPO7_p9406348	460
IPO7_p9406354	1043
IPO7_p9430070	661
IPO8_m30827626	1044
IPO8_m30827642	1586
IPO8_m30827650	1109
IPO8_m30827668	262
IPO8_p30827634	739
IPO8_p30829439	412
IPO8_p30829464	1557
IPO8_p30829469	2020
IPO8_p30829489	560
IPO8_p30829502	1657
IPO9_m201798368	235
IPO9_p201798349	339
IPO9_p201798357	3245
IPO9_p201798373	1304
IPO9_p201798381	2132
IPO9_p201798393	686
IPO9_p201798406	1001
IPO9_p201798438	814
IPO9_p201798459	259
IPO9_p201798465	418
IPPK_m95418740	685
IPPK_m95418788	2224
IPPK_m95420917	423
IPPK_m95420948	2615
IPPK_m95432203	65
IPPK_m95432209	332
IPPK_m95432239	1447
IPPK_p95420907	1701
IPPK_p95432176	721
IPPK_p95432188	1380
IQGAP1_m90931613	904
IQGAP1_m90931618	1729
IQGAP1_m90934012	1432
IQGAP1_p90931569	1549
IQGAP1_p90931576	1657
IQGAP1_p90931581	1491
IQGAP1_p90931587	2425
IQGAP1_p90931592	2433
IQGAP1_p90931603	862
IQGAP1_p90934015	2266
IQGAP3_m156539180	887
IQGAP3_m156539187	894
IQGAP3_m156539217	1862
IQGAP3_m156539237	1680
IQGAP3_m156542293	1044
IQGAP3_m156542298	1076
IQGAP3_m156542304	3033
IQGAP3_m156542315	1901
IQGAP3_p156539225	2320
IQGAP3_p156542277	1528
IQSEC1_m12983232	2677
IQSEC1_m12983242	2216
IQSEC1_m12983324	1240
IQSEC1_m12983354	762
IQSEC1_m12983359	453
IQSEC1_p12983245	1887
IQSEC1_p12983252	407
IQSEC1_p12983262	317
IQSEC1_p12983271	1534
IQSEC1_p12983326	2115
IQSEC2_m53285191	973
IQSEC2_m53285205	3203
IQSEC2_m53308747	1914
IQSEC2_p53285155	61
IQSEC2_p53285193	98
IQSEC2_p53308770	899
IQSEC2_p53308781	484
IQSEC2_p53308794	2896
IQSEC2_p53308816	653
IQSEC2_p53310670	857
IQSEC3_m247467	1230
IQSEC3_m247475	1488
IQSEC3_m247484	2622
IQSEC3_m247493	2039
IQSEC3_m247502	328
IQSEC3_m247509	1326
IQSEC3_m247518	1272
IQSEC3_p247435	2415
IQSEC3_p247446	1222
IQSEC3_p247454	1847
IRAK1BP1_m79577355	464
IRAK1BP1_m79577361	538
IRAK1BP1_m79577373	814
IRAK1BP1_m79577378	797
IRAK1BP1_m79577414	1511
IRAK1BP1_p79577310	1436
IRAK1BP1_p79577316	2250
IRAK1BP1_p79577324	653
IRAK1BP1_p79577333	751
IRAK1BP1_p79577339	1717
IRAK1_m153285017	3196
IRAK1_m153285126	1758
IRAK1_m153285154	1735
IRAK1_m153285190	1126
IRAK1_p153285022	2361
IRAK1_p153285133	1356
IRAK1_p153285157	2885
IRAK1_p153285170	1993
IRAK1_p153285196	2798
IRAK1_p153285203	1174
IRAK2_m10206639	1161
IRAK2_m10206645	2272
IRAK2_m10206665	1540
IRAK2_m10206685	497
IRAK2_m10206691	1063
IRAK2_p10206648	757
IRAK2_p10206655	1470
IRAK2_p10206676	1319
IRAK2_p10206693	1794
IRAK2_p10206699	1636
IRAK3_m66583142	1112
IRAK3_m66603936	2657
IRAK3_p66583064	2219
IRAK3_p66583133	1648
IRAK3_p66583153	947
IRAK3_p66583166	2020
IRAK3_p66583174	1343
IRAK3_p66603248	3210
IRAK3_p66603255	2115
IRAK3_p66603925	3079
IRAK4_m44166776	2018
IRAK4_m44171489	1343
IRAK4_m44171514	2214
IRAK4_p44166048	1587
IRAK4_p44166764	1848
IRAK4_p44166809	1341
IRAK4_p44166832	1048
IRAK4_p44171457	907
IRAK4_p44171496	2752
IRAK4_p44171525	1790
IRF2BP1_m46388944	267
IRF2BP1_m46388957	532
IRF2BP1_m46388962	831
IRF2BP1_m46388968	853
IRF2BP1_m46389002	626
IRF2BP1_p46388949	888
IRF2BP1_p46388971	1223
IRF2BP1_p46388983	2133
IRF2BP1_p46388989	789
IRF2BP1_p46389011	204
IRF2BP2_m234745077	197
IRF2BP2_m234745227	658
IRF2BP2_m234745233	475
IRF2BP2_p234745081	51
IRF2BP2_p234745107	206
IRF2BP2_p234745114	281
IRF2BP2_p234745120	55
IRF2BP2_p234745138	309
IRF2BP2_p234745185	563
IRF2BP2_p234745192	622
IRF2BPL_m77493960	2536
IRF2BPL_m77494028	1407
IRF2BPL_m77494108	483
IRF2BPL_m77494122	3686
IRF2BPL_m77494128	562
IRF2BPL_p77494008	1429
IRF2BPL_p77494015	1365
IRF2BPL_p77494039	825
IRF2BPL_p77494086	1710
IRF2BPL_p77494093	1071
IRF2_m185340673	533
IRF2_m185340678	813
IRF2_m185350153	119
IRF2_m185350181	426
IRF2_m185350188	2749
IRF2_m185350206	1385
IRF2_m185350211	1642
IRF2_p185350168	297
IRF2_p185350192	326
IRF2_p185350197	60
IRF3_m50164035	1972
IRF3_m50164066	716
IRF3_m50165689	1440
IRF3_m50165696	1824
IRF3_m50165703	843
IRF3_m50165837	1503
IRF3_p50164027	3403
IRF3_p50164053	993
IRF3_p50165725	1739
IRF3_p50165739	1031
IRF4_m393175	1589
IRF4_m393226	1155
IRF4_p393149	33
IRF4_p393155	1189
IRF4_p393167	4041
IRF4_p393178	1575
IRF4_p393188	194
IRF4_p393194	3088
IRF4_p393210	421
IRF4_p393233	523
IRF5_m128582136	2430
IRF5_m128582143	800
IRF5_m128582172	679
IRF5_m128582193	1467
IRF5_m128582205	273
IRF5_m128582227	998
IRF5_m128582273	1760
IRF5_p128582176	1198
IRF5_p128582207	654
IRF5_p128582217	1973
IRF6_m209968733	1211
IRF6_m209968755	1665
IRF6_m209969694	502
IRF6_m209969767	1912
IRF6_m209969778	1047
IRF6_p209968723	324
IRF6_p209968737	542
IRF6_p209969730	484
IRF6_p209969738	1802
IRF6_p209969750	1439
IRF7_m615119	1163
IRF7_m615131	1343
IRF7_m615196	778
IRF7_m615223	735
IRF7_m615231	3105
IRF7_p615104	1461
IRF7_p615137	1936
IRF7_p615144	2172
IRF7_p615149	1902
IRF7_p615203	347
IRF8_m85936632	1144
IRF8_m85936693	956
IRF8_p85936610	1826
IRF8_p85936615	624
IRF8_p85936622	606
IRF8_p85936637	800
IRF8_p85936672	1508
IRF8_p85936682	2176
IRF8_p85936709	2129
IRF8_p85936718	1521
IRF9_m24631391	170
IRF9_m24631431	563
IRF9_m24631469	653
IRF9_m24631476	1449
IRF9_p24631399	1780
IRF9_p24631410	2197
IRF9_p24631420	1477
IRF9_p24631447	1951
IRF9_p24631456	1842
IRF9_p24631483	1862
IRS1_m227663340	3311
IRS1_m227663345	364
IRS1_m227663354	1114
IRS1_m227663407	1396
IRS1_m227663431	1504
IRS1_m227663441	1482
IRS1_p227663311	2838
IRS1_p227663367	928
IRS1_p227663378	824
IRS1_p227663419	3347
IRX1_m3596226	247
IRX1_m3596231	2691
IRX1_m3596245	1433
IRX1_m3596394	603
IRX1_m3596426	48
IRX1_m3596441	2329
IRX1_p3596215	1507
IRX1_p3596374	878
IRX1_p3596380	1628
IRX1_p3596398	981
IRX2_m2751442	1814
IRX2_m2751459	809
IRX2_m2751492	231
IRX2_m2751514	1529
IRX2_p2751444	1105
IRX2_p2751470	52
IRX2_p2751484	2035
IRX2_p2751495	1039
IRX2_p2751500	1733
IRX2_p2751506	1096
IRX3_m54319791	889
IRX3_m54319825	1403
IRX3_m54319903	608
IRX3_p54319737	1498
IRX3_p54319796	2591
IRX3_p54319827	644
IRX3_p54319835	1056
IRX3_p54319907	1163
IRX3_p54319916	2098
IRX3_p54319928	1001
IRX4_m1882118	3562
IRX4_m1882129	825
IRX4_m1882166	1065
IRX4_p1882067	0
IRX4_p1882074	308
IRX4_p1882103	987
IRX4_p1882110	3053
IRX4_p1882131	2433
IRX4_p1882137	2820
IRX4_p1882740	937
IRX5_m54965111	2428
IRX5_m54965117	1460
IRX5_m54965122	1125
IRX5_m54965143	800
IRX5_m54965150	1238
IRX5_m54965172	3119
IRX5_m54965204	815
IRX5_p54965103	1018
IRX5_p54965133	1543
IRX5_p54965175	1836
IRX6_m55359010	994
IRX6_m55359015	886
IRX6_m55359029	1693
IRX6_m55359035	939
IRX6_m55360269	1657
IRX6_m55360275	1443
IRX6_m55360293	618
IRX6_m55360330	3307
IRX6_p55359000	1413
IRX6_p55360298	1690
ISCU_m108958141	2672
ISCU_m108959160	0
ISCU_m108959169	121
ISCU_m108961005	127
ISCU_m108961018	60
ISCU_m108961025	804
ISCU_m108962605	29
ISCU_p108958110	1158
ISCU_p108958146	1270
ISCU_p108959177	368
ISG20L2_m156697088	2071
ISG20L2_m156697147	1772
ISG20L2_m156697181	849
ISG20L2_m156697186	1223
ISG20L2_m156697261	720
ISG20L2_m156697331	296
ISG20L2_m156697336	394
ISG20L2_p156697229	377
ISG20L2_p156697280	674
ISG20L2_p156697424	394
ISG20_m89182655	721
ISG20_m89182671	2989
ISG20_m89182686	1218
ISG20_m89182698	2298
ISG20_p89182593	828
ISG20_p89182599	235
ISG20_p89182605	1581
ISG20_p89182617	1198
ISG20_p89182678	1154
ISG20_p89182706	2637
ISL1_m50680393	1639
ISL1_p50679495	1376
ISL1_p50680379	891
ISL1_p50680385	1131
ISL1_p50680416	2001
ISL1_p50680426	765
ISL1_p50680432	931
ISL1_p50680437	277
ISL1_p50680444	471
ISL1_p50680462	1224
ISL2_m76630170	2203
ISL2_m76630179	803
ISL2_m76630197	1022
ISL2_m76630214	909
ISL2_p76630110	979
ISL2_p76630122	1926
ISL2_p76630129	1476
ISL2_p76630160	527
ISL2_p76630181	480
ISL2_p76630188	1826
ISM2_m77965025	248
ISM2_m77965032	1003
ISM2_m77965061	2
ISM2_m77965069	885
ISM2_m77965084	303
ISM2_m77965112	2575
ISM2_p77965012	1425
ISM2_p77965091	1092
ISM2_p77965096	1353
ISM2_p77965102	138
ISOC2_m55967783	938
ISOC2_m55967830	1643
ISOC2_p55967747	2189
ISOC2_p55967774	811
ISOC2_p55967787	943
ISOC2_p55967795	2842
ISOC2_p55967804	1203
ISOC2_p55967810	2103
ISOC2_p55967815	745
ISOC2_p55967820	582
IST1_m71955341	1050
IST1_m71956496	1908
IST1_m71956523	704
IST1_m71956529	1891
IST1_m71956535	783
IST1_m71956541	1001
IST1_m71956568	535
IST1_p71955244	396
IST1_p71956370	1574
IST1_p71956445	1107
ISX_m35463151	5602
ISX_m35463171	506
ISX_m35463177	701
ISX_m35463204	1208
ISX_p35463074	1346
ISX_p35463090	863
ISX_p35463112	432
ISX_p35463160	650
ISX_p35463183	2663
ISX_p35463196	1747
ISY1_m128875477	1357
ISY1_m128875699	508
ISY1_m128875709	279
ISY1_m128875747	1167
ISY1_m128877370	460
ISY1_p128875701	858
ISY1_p128875721	579
ISY1_p128875730	435
ISY1_p128877358	2471
ISY1_p128877374	299
ITCH_m33001546	1338
ITCH_m33001594	1147
ITCH_m33001661	703
ITCH_p33001555	246
ITCH_p33001585	2736
ITCH_p33001609	1598
ITCH_p33001642	1235
ITCH_p33012284	887
ITCH_p33012298	1600
ITCH_p33012309	2277
ITGAM_m31271386	733
ITGAM_m31271402	1067
ITGAM_m31273021	3346
ITGAM_m31273103	603
ITGAM_m31276735	973
ITGAM_p31271391	613
ITGAM_p31273008	2426
ITGAM_p31273057	2276
ITGAM_p31273088	2453
ITGAM_p31276738	1062
ITGAV_m187466775	2167
ITGAV_m187466791	337
ITGAV_m187466796	869
ITGAV_m187466822	1818
ITGAV_m187466845	714
ITGAV_m187466855	1
ITGAV_p187466744	752
ITGAV_p187466783	1774
ITGAV_p187466812	3161
ITGAV_p187466827	96
ITGB1BP1_m9552452	1887
ITGB1BP1_m9554342	1377
ITGB1BP1_m9554368	2002
ITGB1BP1_m9558756	1187
ITGB1BP1_p9552410	388
ITGB1BP1_p9552420	1159
ITGB1BP1_p9552454	1246
ITGB1BP1_p9554316	828
ITGB1BP1_p9554328	500
ITGB1BP1_p9558762	2031
ITGB1_m33218826	3432
ITGB1_m33221457	922
ITGB1_m33221472	1379
ITGB1_m33221491	694
ITGB1_m33224421	2462
ITGB1_p33218812	2242
ITGB1_p33218855	234
ITGB1_p33218928	1818
ITGB1_p33221446	3992
ITGB1_p33221478	1063
ITGB3_m45331249	662
ITGB3_m45331254	1734
ITGB3_m45351802	322
ITGB3_m45351820	1699
ITGB3_p45331216	1134
ITGB3_p45331222	1849
ITGB3_p45331256	1140
ITGB3_p45331281	263
ITGB3_p45351786	1167
ITGB3_p45351812	1030
ITK_m156608005	1061
ITK_m156608057	1157
ITK_m156608074	1105
ITK_m156608091	2744
ITK_m156608097	2015
ITK_m156635924	932
ITK_p156607987	631
ITK_p156608080	1947
ITK_p156608102	1356
ITK_p156635895	1152
ITM2B_m48807497	1028
ITM2B_m48807521	1171
ITM2B_m48807542	1208
ITM2B_m48807556	2524
ITM2B_m48807589	164
ITM2B_p48807483	1403
ITM2B_p48807504	621
ITM2B_p48807513	596
ITM2B_p48807546	1983
ITM2B_p48807591	217
ITPKC_m41223054	2260
ITPKC_m41223098	1246
ITPKC_m41223107	2019
ITPKC_p41223040	1180
ITPKC_p41223057	821
ITPKC_p41223064	1957
ITPKC_p41223109	1726
ITPKC_p41223116	821
ITPKC_p41223145	1729
ITPKC_p41223151	202
ITPR3_m33589380	921
ITPR3_m33589425	1881
ITPR3_m33589443	2092
ITPR3_m33608259	2291
ITPR3_p33589388	830
ITPR3_p33589414	767
ITPR3_p33589427	1393
ITPR3_p33589445	1004
ITPR3_p33608263	1654
ITPR3_p33608272	1025
IVNS1ABP_m185277993	555
IVNS1ABP_m185278212	1421
IVNS1ABP_m185278299	514
IVNS1ABP_m185278516	797
IVNS1ABP_m185278597	1493
IVNS1ABP_p185278124	1818
IVNS1ABP_p185278155	1526
IVNS1ABP_p185278194	486
IVNS1ABP_p185278273	778
IVNS1ABP_p185278544	692
IWS1_m128281276	346
IWS1_m128281288	1142
IWS1_m128281313	938
IWS1_m128281318	131
IWS1_m128281326	1275
IWS1_m128283749	1074
IWS1_m128283764	88
IWS1_m128283777	2305
IWS1_p128281266	936
IWS1_p128281328	3236
JAG2_m105634334	756
JAG2_m105634348	3103
JAG2_m105634358	1039
JAG2_m105634387	2412
JAG2_m105634399	2915
JAG2_m105634693	857
JAG2_m105634699	1210
JAG2_m105634741	1014
JAG2_p105634299	484
JAG2_p105634411	1659
JAK1_m65348968	2330
JAK1_m65348977	3768
JAK1_m65348992	2401
JAK1_m65349031	2386
JAK1_m65349037	1074
JAK1_m65349076	871
JAK1_m65349088	764
JAK1_p65344777	482
JAK1_p65344786	5925
JAK1_p65348998	494
JAK2_m5022000	2038
JAK2_m5022075	1203
JAK2_m5022098	3660
JAK2_m5022121	324
JAK2_m5022126	987
JAK2_p5022002	564
JAK2_p5022032	1193
JAK2_p5022044	3166
JAK2_p5022085	1796
JAK2_p5022107	2713
JAK3_m17955051	1765
JAK3_m17955060	1831
JAK3_m17955091	543
JAK3_m17955129	1072
JAK3_m17955162	538
JAK3_p17955063	3048
JAK3_p17955145	2464
JAK3_p17955153	449
JAK3_p17955170	2407
JAK3_p17955177	2518
JARID2_m15468874	2783
JARID2_m15487552	761
JARID2_m15487606	1350
JARID2_m15487611	918
JARID2_p15468806	1973
JARID2_p15468815	1744
JARID2_p15468921	2142
JARID2_p15468927	4240
JARID2_p15487543	2272
JARID2_p15487595	1150
JAZF1_m28031588	583
JAZF1_m28220083	2476
JAZF1_m28220148	332
JAZF1_m28220191	1442
JAZF1_p28220090	281
JAZF1_p28220099	1935
JAZF1_p28220104	3712
JAZF1_p28220151	1063
JAZF1_p28220157	71
JAZF1_p28220175	862
JDP2_m75904632	1421
JDP2_m75904643	617
JDP2_m75904649	1760
JDP2_m75904711	223
JDP2_p75904611	613
JDP2_p75904622	2173
JDP2_p75904653	2072
JDP2_p75904700	579
JDP2_p75904731	1112
JDP2_p75904760	425
JHDM1D_m139876656	136
JHDM1D_m139876667	889
JHDM1D_m139876673	1712
JHDM1D_m139876685	1340
JHDM1D_m139876724	1300
JHDM1D_p139876582	2615
JHDM1D_p139876589	2574
JHDM1D_p139876605	1581
JHDM1D_p139876610	399
JHDM1D_p139876689	831
JMJD1C_m64975098	1408
JMJD1C_m64975348	3142
JMJD1C_m64975425	683
JMJD1C_m64976968	934
JMJD1C_p64975112	585
JMJD1C_p64975156	848
JMJD1C_p64975161	688
JMJD1C_p64975175	1891
JMJD1C_p64975190	609
JMJD1C_p64975409	1046
JMJD6_m74722476	876
JMJD6_m74722482	903
JMJD6_m74722487	726
JMJD6_m74722496	283
JMJD6_m74722509	454
JMJD6_m74722518	32
JMJD6_m74722526	142
JMJD6_p74722454	345
JMJD6_p74722500	544
JMJD6_p74722529	662
JMY_m78532474	1194
JMY_m78532528	880
JMY_m78532576	1267
JMY_p78532466	2099
JMY_p78532484	976
JMY_p78532489	3065
JMY_p78532501	1943
JMY_p78532550	473
JMY_p78532555	1365
JMY_p78532568	3942
JRKL_m96123898	2819
JRKL_m96124012	139
JRKL_p96123798	2252
JRKL_p96123805	673
JRKL_p96123815	3012
JRKL_p96123864	110
JRKL_p96123884	502
JRKL_p96123903	1006
JRKL_p96123919	1323
JRKL_p96124022	3412
JTB_m153949469	898
JTB_m153949481	1241
JTB_m153949647	260
JTB_m153949705	2028
JTB_m153949720	1581
JTB_p153949452	1097
JTB_p153949635	839
JTB_p153949664	1269
JTB_p153949673	692
JTB_p153949707	214
JUNB_m12902609	1455
JUNB_m12902617	2471
JUNB_m12902656	1582
JUNB_m12902665	921
JUNB_m12902689	619
JUNB_m12902701	1548
JUNB_p12902624	1587
JUNB_p12902629	1723
JUNB_p12902680	295
JUNB_p12902692	2678
JUND_m18392122	18
JUND_m18392253	445
JUND_m18392259	2117
JUND_m18392269	1266
JUND_m18392277	1196
JUND_p18392150	835
JUND_p18392156	235
JUND_p18392163	1368
JUND_p18392219	700
JUND_p18392261	547
JUN_m59248605	2334
JUN_m59248618	4414
JUN_m59248674	926
JUN_m59248729	1644
JUN_p59248621	2315
JUN_p59248628	946
JUN_p59248658	2619
JUN_p59248663	571
JUN_p59248681	3325
JUN_p59248697	968
JUP_m39927973	1577
JUP_m39927979	4925
JUP_m39928023	1032
JUP_m39928035	855
JUP_m39928072	1253
JUP_m39928087	1802
JUP_p39927981	125
JUP_p39927989	1168
JUP_p39927995	2581
JUP_p39928056	2697
KALRN_m123813737	2088
KALRN_m123946902	2410
KALRN_m123953701	1798
KALRN_p123813679	5629
KALRN_p123813688	1439
KALRN_p123813697	2338
KALRN_p123813715	617
KALRN_p123813722	2851
KALRN_p123813729	227
KALRN_p123946867	441
KANK1_m711280	612
KANK1_m711294	11
KANK1_m711387	2739
KANK1_m711398	175
KANK1_p711239	290
KANK1_p711245	495
KANK1_p711272	1938
KANK1_p711286	451
KANK1_p711296	1856
