gRNA	KBM7.initial
ADCY1_p45614255	465
ADCY1_p45614284	284
ADCY1_p45614294	176
ADCY1_p45614309	110
ADCY1_p45614315	41
ADD1_m2877698	227
ADD1_m2877722	204
ADD1_m2877771	456
ADD1_m2877776	247
ADD1_p2877627	175
ADD1_p2877644	574
ADD1_p2877730	14
ADD1_p2877736	456
ADD1_p2877743	787
ADD1_p2877761	365
ADD3_m111860427	292
ADD3_m111860445	391
ADD3_m111860450	846
ADD3_m111860456	495
ADD3_m111860540	741
ADD3_p111860411	470
ADD3_p111860500	591
ADD3_p111860505	476
ADD3_p111860545	681
ADD3_p111860553	776
ADH5_m100003154	424
ADH5_m100003254	700
ADH5_m100006267	907
ADH5_m100006354	652
ADH5_m100009841	1273
ADH5_p100002504	404
ADH5_p100002510	136
ADH5_p100002584	666
ADH5_p100003219	330
ADH5_p100003224	204
ADH7_m100349694	581
ADH7_m100350690	403
ADH7_m100350735	374
ADH7_m100350762	889
ADH7_p100349698	477
ADH7_p100349706	222
ADH7_p100349757	324
ADH7_p100350692	255
ADH7_p100350718	181
ADH7_p100350724	217
ADI1_m3517677	275
ADI1_m3523156	407
ADI1_m3523162	400
ADI1_m3523239	178
ADI1_m3523246	375
ADI1_m3523251	1025
ADI1_p3517642	225
ADI1_p3517660	470
ADI1_p3523164	685
ADI1_p3523171	88
ADIRF_m88728302	125
ADIRF_m88728350	135
ADIRF_m88729968	379
ADIRF_p88728292	535
ADIRF_p88728315	569
ADIRF_p88728321	428
ADIRF_p88729942	487
ADIRF_p88729951	245
ADIRF_p88729975	118
ADIRF_p88729984	885
ADK_m75960552	1030
ADK_m75960590	37
ADK_m76153995	657
ADK_m76154033	386
ADK_p75960554	465
ADK_p76074446	254
ADK_p76074475	16
ADK_p76074481	42
ADK_p76153940	266
ADK_p76154015	276
ADNP2_m77891006	0
ADNP2_p77875445	349
ADNP2_p77875475	60
ADNP2_p77875482	220
ADNP2_p77875499	346
ADNP2_p77875511	734
ADNP2_p77890985	721
ADNP2_p77891013	342
ADNP2_p77891042	131
ADNP2_p77891053	181
ADNP_m49511043	295
ADNP_m49518579	808
ADNP_m49518587	1488
ADNP_m49520451	441
ADNP_m49520507	787
ADNP_p49510837	170
ADNP_p49510899	750
ADNP_p49510949	501
ADNP_p49511011	323
ADNP_p49520498	432
ADPRHL2_m36554512	456
ADPRHL2_m36554557	589
ADPRHL2_m36554563	237
ADPRHL2_m36554576	628
ADPRHL2_m36554620	168
ADPRHL2_p36554501	391
ADPRHL2_p36554520	594
ADPRHL2_p36554568	447
ADPRHL2_p36554580	527
ADPRHL2_p36554606	138
ADRA1A_m26722399	130
ADRA1A_m26722428	0
ADRA1A_m26722434	734
ADRA1A_m26722473	327
ADRA1A_p26722329	820
ADRA1A_p26722406	314
ADRA1A_p26722412	554
ADRA1A_p26722419	286
