gRNA	KBM7.initial
LPIN2_m2960768	333
LPIN2_m2960779	272
LPIN2_m2960792	573
LPIN2_m2960810	427
LPIN2_m2960815	530
LPIN2_m2960827	128
LPIN2_p2960738	641
LPIN2_p2960747	390
LPIN2_p2960817	651
LPIN3_m39974508	460
LPIN3_m39974514	302
LPIN3_m39974519	89
LPIN3_p39974433	420
LPIN3_p39974458	378
LPIN3_p39974469	758
LPIN3_p39974480	232
LPIN3_p39974523	760
LPIN3_p39974535	277
LPIN3_p39974542	402
LPP_m188123961	546
LPP_m188123968	78
LPP_m188124004	618
LPP_m188124067	215
LPP_m188124078	116
LPP_m188124091	307
LPP_p188123903	412
LPP_p188123951	201
LPP_p188123974	753
LPP_p188124070	151
LPXN_m58338051	216
LPXN_m58338069	449
LPXN_m58338150	253
LPXN_m58338168	705
LPXN_m58338174	247
LPXN_p58338060	477
LPXN_p58338076	163
LPXN_p58338090	481
LPXN_p58338132	404
LPXN_p58338160	181
LRCH4_m100183591	510
LRCH4_m100183599	153
LRCH4_m100183605	295
LRCH4_m100183690	106
LRCH4_m100183707	330
LRCH4_p100183570	493
LRCH4_p100183579	169
LRCH4_p100183634	483
LRCH4_p100183639	190
LRCH4_p100183648	300
LRIF1_m111492609	405
LRIF1_m111492663	258
LRIF1_m111492677	210
LRIF1_m111492704	549
LRIF1_m111492713	302
LRIF1_p111492552	73
LRIF1_p111492557	671
LRIF1_p111492570	476
LRIF1_p111492594	41
LRIF1_p111492684	345
LRP1_m57522758	618
LRP1_m57522781	826
LRP1_m57532261	697
LRP1_m57532274	247
LRP1_p57522792	232
LRP1_p57532281	458
LRP1_p57532286	283
LRP1_p57532297	619
LRP1_p57532304	900
LRP1_p57532318	316
LRRC10_m70004521	525
LRRC10_m70004593	819
LRRC10_p70004511	960
LRRC10_p70004524	562
LRRC10_p70004545	277
LRRC10_p70004551	256
LRRC10_p70004559	443
LRRC10_p70004567	84
LRRC10_p70004575	477
LRRC10_p70004585	746
LRRC16A_m25280024	326
LRRC16A_m25280030	270
LRRC16A_m25280050	262
LRRC16A_m25420346	207
LRRC16A_m25420358	297
LRRC16A_p25280010	434
LRRC16A_p25280041	471
LRRC16A_p25285038	531
LRRC16A_p25285079	254
LRRC16A_p25285088	433
LRRC59_m48474575	377
LRRC59_m48474581	860
LRRC59_m48474587	570
LRRC59_m48474593	254
LRRC59_m48474631	522
LRRC59_m48474659	480
LRRC59_m48474667	352
LRRC59_p48474565	421
LRRC59_p48474645	322
LRRC59_p48474651	395
LRRC6_m133650247	213
LRRC6_m133650263	619
LRRC6_m133650341	809
LRRC6_m133673753	412
LRRC6_m133673760	463
LRRC6_m133673853	200
LRRC6_m133687733	503
LRRC6_p133650217	624
LRRC6_p133650305	207
LRRC6_p133673795	303
LRRFIP1_m238657902	131
LRRFIP1_m238657926	335
LRRFIP1_m238657944	333
LRRFIP1_p238617175	497
LRRFIP1_p238617227	714
LRRFIP1_p238617233	416
LRRFIP1_p238657867	294
LRRFIP1_p238657872	156
LRRFIP1_p238657889	391
LRRFIP1_p238657935	859
LRRK1_m101464864	919
LRRK1_m101464888	250
LRRK1_m101464909	345
LRRK1_p101464822	179
LRRK1_p101464899	597
LRRK1_p101464912	173
LRRK1_p101513993	145
LRRK1_p101514020	323
LRRK1_p101514050	442
LRRK1_p101514058	1034
LRRK2_m40618934	480
LRRK2_m40619043	189
LRRK2_m40619049	1050
LRRK2_m40619078	871
LRRK2_p40618921	671
LRRK2_p40618976	239
LRRK2_p40618992	655
LRRK2_p40619028	532
LRRK2_p40619062	1115
LRRK2_p40619352	204
LRWD1_m102105537	594
LRWD1_m102105598	187
LRWD1_m102106262	351
LRWD1_m102106303	512
LRWD1_m102106311	128
LRWD1_m102106317	669
LRWD1_p102105542	314
LRWD1_p102106254	847
LRWD1_p102106275	53
LRWD1_p102106338	252
LSG1_m194390830	213
LSG1_m194390841	352
LSG1_m194392794	289
LSG1_m194392825	308
LSG1_m194392882	349
LSG1_p194390767	1365
LSG1_p194392797	51
LSG1_p194392815	257
LSG1_p194392846	414
LSG1_p194392851	468
LSM10_m36859618	473
LSM10_m36859630	994
LSM10_m36859652	447
LSM10_m36859657	384
LSM10_m36859708	310
LSM10_p36859622	478
LSM10_p36859636	164
LSM10_p36859660	615
LSM10_p36859676	381
LSM10_p36859696	322
LSM11_m157170814	177
LSM11_m157170819	524
LSM11_m157170824	557
LSM11_m157170856	484
LSM11_m157170879	482
LSM11_m157170911	648
LSM11_p157170747	468
LSM11_p157170753	928
LSM11_p157170841	609
LSM11_p157170927	509
LSM1_m38021246	614
LSM1_m38027367	632
LSM1_m38027395	511
LSM1_m38027411	654
LSM1_m38029511	881
LSM1_m38029522	513
LSM1_m38033804	325
LSM1_p38021253	520
LSM1_p38027312	718
LSM1_p38033789	468
LSM2_m31765635	613
LSM2_m31766255	568
LSM2_m31766278	440
LSM2_m31773853	314
LSM2_m31773873	321
LSM2_m31773879	813
LSM2_m31773885	183
LSM2_p31765598	321
LSM2_p31765764	225
LSM2_p31766246	258
LSM4_m18420565	658
LSM4_m18420571	656
LSM4_m18420577	1289
LSM4_m18423412	784
LSM4_m18423472	953
LSM4_p18420579	603
LSM4_p18420610	277
LSM4_p18420623	311
LSM4_p18423418	235
LSM4_p18423451	725
LSM5_m32526888	475
LSM5_m32526894	603
LSM5_m32527347	477
LSM5_m32527354	264
LSM5_m32528255	579
LSM5_m32528892	749
LSM5_m32528902	982
LSM5_p32526861	401
LSM5_p32526876	267
LSM5_p32527336	364
LSM7_m2324180	340
LSM7_m2328387	612
LSM7_m2328399	257
LSM7_m2328412	563
LSM7_p2324146	580
LSM7_p2324162	210
LSM7_p2324172	342
LSM7_p2328370	204
LSM7_p2328379	242
LSM7_p2328391	118
LSMD1_m7760568	239
LSMD1_m7760614	81
LSMD1_m7760647	1015
LSMD1_m7760671	276
LSMD1_m7760679	433
LSMD1_m7760703	332
LSMD1_m7760727	849
LSMD1_p7760573	38
LSMD1_p7760596	585
LSMD1_p7760604	559
LTA4H_m96421223	182
LTA4H_m96421257	0
LTA4H_m96422863	288
LTA4H_m96422874	135
LTA4H_m96422895	313
LTA4H_p96418297	398
LTA4H_p96421249	80
LTA4H_p96421262	551
LTA4H_p96422826	740
LTA4H_p96422844	546
LTC4S_m179221082	311
LTC4S_m179221118	562
LTC4S_m179221131	226
LTC4S_m179222596	113
LTC4S_m179222623	576
LTC4S_p179221071	670
LTC4S_p179221101	291
LTC4S_p179221120	169
LTC4S_p179222579	512
LTC4S_p179222588	352
LTF_m46497833	114
LTF_m46497838	519
LTF_m46497856	351
LTF_m46501147	583
LTF_p46497805	611
LTF_p46497842	324
LTF_p46501130	694
LTF_p46501135	406
LTF_p46501149	538
LTF_p46501176	164
LTK_m41805069	724
LTK_m41805296	396
LTK_m41805866	251
LTK_m41805875	418
LTK_m41805897	480
LTK_p41805017	370
LTK_p41805167	177
LTK_p41805191	720
LTK_p41805216	177
LTK_p41805240	128
LTV1_m144165643	44
LTV1_m144165684	557
LTV1_m144165693	700
LTV1_m144165703	176
LTV1_m144165728	287
LTV1_p144165608	293
LTV1_p144167182	290
LTV1_p144167197	481
LTV1_p144167205	643
LTV1_p144167249	408
LUC7L2_m139060865	1272
LUC7L2_m139060892	354
LUC7L2_m139083343	47
LUC7L2_m139083376	331
LUC7L2_m139083382	365
LUC7L2_m139086886	420
LUC7L2_p139060875	465
LUC7L2_p139083335	219
LUC7L2_p139083361	81
LUC7L2_p139086914	192
LUC7L3_m48797094	680
LUC7L3_m48797106	207
LUC7L3_m48797152	464
LUC7L3_m48797185	183
LUC7L3_m48814353	428
LUC7L3_p48797080	455
LUC7L3_p48797108	317
LUC7L3_p48797113	476
LUC7L3_p48797154	404
LUC7L3_p48814320	89
LUC7L_m277317	616
LUC7L_m279279	439
LUC7L_m279284	438
LUC7L_m279289	490
LUC7L_m279294	374
LUC7L_m279307	249
LUC7L_m279328	317
LUC7L_p277303	160
LUC7L_p279311	151
LUC7L_p279317	663
LUZP1_m23420612	625
LUZP1_m23420621	211
LUZP1_m23420706	0
LUZP1_m23420726	557
LUZP1_m23420732	273
LUZP1_p23420624	239
LUZP1_p23420654	511
LUZP1_p23420660	352
LUZP1_p23420690	148
LUZP1_p23420697	704
LUZP4_m114524402	433
LUZP4_m114536680	296
LUZP4_p114524317	292
LUZP4_p114524362	204
LUZP4_p114524394	378
LUZP4_p114536564	189
LUZP4_p114536661	739
LUZP4_p114536666	289
LUZP4_p114537923	167
LUZP4_p114537941	123
LY6K_m143781961	1153
LY6K_m143781979	504
LY6K_m143781984	120
LY6K_m143782003	376
LY6K_p143781947	183
LY6K_p143781953	528
LY6K_p143781964	299
LY6K_p143781970	215
LY6K_p143782010	1660
LY6K_p143782025	282
LYAR_m4281214	494
LYAR_m4283511	1607
LYAR_m4283518	642
LYAR_m4283523	1019
LYAR_m4283555	792
LYAR_m4283564	412
LYAR_m4283570	460
LYAR_m4285349	306
LYAR_p4283583	615
LYAR_p4285357	924
LYL1_m13211781	483
LYL1_m13211791	193
LYL1_m13211839	177
LYL1_m13211927	271
LYL1_m13211956	728
LYL1_m13211966	14
LYL1_p13211794	635
LYL1_p13211802	176
LYL1_p13211869	528
LYL1_p13211929	96
LYN_m56859030	298
LYN_m56860181	670
LYN_m56860217	424
LYN_m56860231	844
LYN_m56860276	178
LYN_p56854442	1057
LYN_p56860162	210
LYN_p56860169	492
LYN_p56860235	661
LYN_p56860255	469
LYRM1_m20926906	795
LYRM1_m20931460	206
LYRM1_p20926864	409
LYRM1_p20926886	597
LYRM1_p20926927	334
LYRM1_p20926937	325
LYRM1_p20926945	521
LYRM1_p20927001	840
LYRM1_p20931471	396
LYRM1_p20931482	36
LYRM4_m5216869	437
LYRM4_m5260882	490
LYRM4_m5260926	562
LYRM4_p5216849	191
LYRM4_p5216859	237
LYRM4_p5216873	50
LYRM4_p5216890	48
LYRM4_p5260870	825
LYRM4_p5260905	298
LYRM4_p5260933	116
LZTS1_m20112566	325
LZTS1_m20112575	507
LZTS1_m20112666	427
LZTS1_p20112580	218
LZTS1_p20112587	504
LZTS1_p20112616	210
LZTS1_p20112631	613
LZTS1_p20112640	266
LZTS1_p20112652	530
LZTS1_p20112671	385
LZTS2_m102762296	389
LZTS2_m102762319	269
LZTS2_m102762325	456
LZTS2_m102762334	293
LZTS2_m102762357	233
LZTS2_m102762367	320
LZTS2_m102762390	231
LZTS2_p102762306	80
LZTS2_p102762376	387
LZTS2_p102762392	261
M1AP_m74867275	125
M1AP_m74867302	416
M1AP_m74867336	496
M1AP_m74867375	243
M1AP_m74867382	325
M1AP_p74867260	307
M1AP_p74867282	517
M1AP_p74867316	215
M1AP_p74867326	663
M1AP_p74867348	287
MAB21L1_m36050133	1145
MAB21L1_m36050148	292
MAB21L1_m36050253	741
MAB21L1_p36050137	245
MAB21L1_p36050160	446
MAB21L1_p36050188	299
MAB21L1_p36050193	348
MAB21L1_p36050223	157
MAB21L1_p36050236	234
MAB21L1_p36050241	341
MAB21L2_m151504191	164
MAB21L2_m151504200	242
MAB21L2_m151504213	67
MAB21L2_m151504276	207
MAB21L2_p151504183	380
MAB21L2_p151504222	861
MAB21L2_p151504231	80
MAB21L2_p151504267	450
MAB21L2_p151504288	586
MAB21L2_p151504294	553
MACC1_m20199722	332
MACC1_m20199782	498
MACC1_m20199816	173
MACC1_m20199835	589
MACC1_m20199862	308
MACC1_m20201402	272
MACC1_m20201409	200
MACC1_p20199765	319
MACC1_p20199799	504
MACC1_p20199841	352
MACROD1_m63933361	410
MACROD1_m63933416	504
MACROD1_m63933443	83
MACROD1_p63933303	323
MACROD1_p63933311	1313
MACROD1_p63933334	954
MACROD1_p63933343	378
MACROD1_p63933366	235
MACROD1_p63933421	379
MACROD1_p63933429	125
MACROD2_m15913975	511
MACROD2_m15918151	506
MACROD2_p15866409	284
MACROD2_p15866434	160
MACROD2_p15913915	823
MACROD2_p15913930	1042
MACROD2_p15913939	450
MACROD2_p15913961	1619
MACROD2_p15918125	542
MACROD2_p15918142	256
MAD1L1_m2269620	369
MAD1L1_m2269662	239
MAD1L1_m2269677	892
MAD1L1_m2269682	626
MAD1L1_m2269688	561
MAD1L1_m2269695	522
MAD1L1_m2269757	622
MAD1L1_p2269611	191
MAD1L1_p2269634	250
MAD1L1_p2269707	287
MAD2L1BP_m43604116	322
MAD2L1BP_m43604141	391
MAD2L1BP_m43604156	336
MAD2L1BP_m43604197	490
MAD2L1BP_m43604223	314
MAD2L1BP_m43604242	393
MAD2L1BP_p43604105	298
MAD2L1BP_p43604169	686
MAD2L1BP_p43604187	522
MAD2L1BP_p43604233	379
MAD2L1_m120982061	401
MAD2L1_m120983173	627
MAD2L1_m120986828	651
MAD2L1_m120987831	211
MAD2L1_m120987847	632
MAD2L1_p120982067	35
MAD2L1_p120982079	672
MAD2L1_p120986899	255
MAD2L1_p120986909	50
MAD2L1_p120987805	462
MAD2L2_m11740465	185
MAD2L2_m11740498	101
MAD2L2_m11740620	535
MAD2L2_m11740626	999
MAD2L2_p11740420	275
MAD2L2_p11740433	359
MAD2L2_p11740456	1438
MAD2L2_p11740480	454
MAD2L2_p11740612	411
MAD2L2_p11740631	312
MAEA_m1283741	129
MAEA_m1283760	228
MAEA_m1283765	273
MAEA_m1305765	261
MAEA_m1305772	440
MAEA_p1283691	441
MAEA_p1283697	437
MAEA_p1283724	198
MAEA_p1283730	287
MAEA_p1283748	422
MAEL_m166958590	635
MAEL_m166958595	223
MAEL_m166958600	33
MAEL_m166958608	610
MAEL_m166958649	327
MAEL_m166958669	318
MAEL_m166958695	488
MAEL_p166958582	279
MAEL_p166958615	220
MAEL_p166958654	704
MAF1_m145160620	892
MAF1_m145160656	581
MAF1_m145160848	916
MAF1_m145160895	744
MAF1_m145161016	446
MAF1_p145160625	383
MAF1_p145160643	252
MAF1_p145160774	665
MAF1_p145160813	800
MAF1_p145160987	834
MAFA_m144512467	64
MAFA_m144512479	926
MAFA_m144512488	760
MAFA_m144512530	0
MAFA_m144512557	299
MAFA_p144512447	59
MAFA_p144512504	384
MAFA_p144512511	1476
MAFA_p144512519	652
MAFA_p144512549	305
MAFB_m39317335	631
MAFB_m39317383	716
MAFB_m39317393	251
MAFB_m39317444	233
MAFB_m39317470	841
MAFB_m39317483	186
MAFB_p39317344	486
MAFB_p39317418	950
MAFB_p39317426	628
MAFB_p39317433	799
MAFF_m38610506	433
MAFF_m38610529	139
MAFF_m38610575	402
MAFF_m38610586	217
MAFF_m38610596	797
MAFF_p38610495	466
MAFF_p38610509	375
MAFF_p38610520	208
MAFF_p38610532	844
MAFF_p38610599	490
MAFG_m79880872	655
MAFG_m79880890	1412
MAFG_m79880896	521
MAFG_m79880910	330
MAFG_m79881027	485
MAFG_p79880878	171
MAFG_p79880898	173
MAFG_p79880914	286
MAFG_p79881010	334
MAFG_p79881029	154
MAFK_m1578843	101
MAFK_m1578849	261
MAFK_m1579575	636
MAFK_m1579605	229
MAFK_m1579676	317
MAFK_m1579695	589
MAFK_p1578833	253
MAFK_p1579617	445
MAFK_p1579685	635
MAFK_p1579713	168
MAF_m79633523	299
MAF_m79633537	424
MAF_m79633546	250
MAF_m79633566	311
MAF_m79633603	641
MAF_m79633646	79
MAF_m79633786	422
MAF_p79633657	551
MAF_p79633671	517
MAF_p79633724	392
MAGEA10_m151304015	609
MAGEA10_m151304025	458
MAGEA10_p151303859	619
MAGEA10_p151303885	612
MAGEA10_p151303891	377
MAGEA10_p151303977	347
MAGEA10_p151304017	211
MAGEA10_p151304036	747
MAGEA10_p151304057	185
MAGEA10_p151304066	304
MAGEA11_m148796190	593
MAGEA11_m148797282	345
MAGEA11_m148797302	171
MAGEA11_m148797313	715
MAGEA11_m148797425	91
MAGEA11_p148797268	392
MAGEA11_p148797273	621
MAGEA11_p148797294	281
MAGEA11_p148797305	424
MAGEA11_p148797429	92
MAGEA1_m152482863	579
MAGEA1_m152482880	285
MAGEA1_m152482925	583
MAGEA1_p152482871	544
MAGEA1_p152482884	301
MAGEA1_p152482890	978
MAGEA1_p152482916	685
MAGEA1_p152482934	265
MAGEA1_p152482943	158
MAGEA1_p152482954	517
MAGEC2_m141291571	185
MAGEC2_m141291700	136
MAGEC2_m141291759	334
MAGEC2_p141291626	657
MAGEC2_p141291632	108
MAGEC2_p141291702	397
MAGEC2_p141291724	379
MAGEC2_p141291729	252
MAGEC2_p141291738	502
MAGEC2_p141291743	22
MAGEE1_m75648340	131
MAGEE1_m75648355	198
MAGEE1_m75648361	309
MAGEE1_m75648434	524
MAGEE1_m75648462	404
MAGEE1_m75648470	290
MAGEE1_m75648480	634
MAGEE1_m75648487	199
MAGEE1_p75648310	785
MAGEE1_p75648375	593
MAGI2_m79082458	240
MAGI2_m79082469	283
MAGI2_m79082482	557
MAGI2_m79082538	305
MAGI2_m79082553	200
MAGI2_m79082562	604
MAGI2_m79082577	600
MAGI2_p79082544	399
MAGI2_p79082569	523
MAGI2_p79082587	472
MAGI3_m113933732	384
MAGI3_m113933824	529
MAGI3_p113933665	452
MAGI3_p113933675	629
MAGI3_p113933698	657
MAGI3_p113933703	370
MAGI3_p113933736	355
MAGI3_p113933744	85
MAGI3_p113933751	0
MAGI3_p113933816	279
MAK16_m33342725	312
MAK16_m33346042	174
MAK16_m33346061	210
MAK16_m33346108	255
MAK16_p33342711	492
MAK16_p33345881	401
MAK16_p33345892	322
MAK16_p33346072	328
MAK16_p33346125	169
MAK16_p33346252	481
MAK_m10809083	250
MAK_m10813897	498
MAK_m10818084	130
MAK_m10819120	809
MAK_m10819150	478
MAK_m10830803	486
MAK_m10830822	718
MAK_m10830852	545
MAK_p10813864	387
MAK_p10813920	382
MALT1_m56338895	230
MALT1_m56338946	121
MALT1_m56338954	251
MALT1_m56338963	271
MALT1_m56338970	323
MALT1_m56338983	490
MALT1_p56338865	935
MALT1_p56338972	414
MALT1_p56338988	366
MALT1_p56338994	92
MAML1_m179160113	841
MAML1_m179160134	812
MAML1_m179160181	345
MAML1_m179160205	939
MAML1_m179160211	293
MAML1_m179160231	376
MAML1_p179160151	261
MAML1_p179160165	203
MAML1_p179160183	155
MAML1_p179160217	655
MAML2_m96074857	448
MAML2_m96074875	1356
MAML2_m96074880	882
MAML2_m96074895	570
MAML2_m96074933	246
MAML2_m96074938	270
MAML2_m96074950	746
MAML2_p96074849	79
MAML2_p96074884	177
MAML2_p96074917	540
MAMLD1_m149613828	452
MAMLD1_m149613871	335
MAMLD1_m149638054	426
MAMLD1_m149638103	761
MAMLD1_p149613771	313
MAMLD1_p149613832	592
MAMLD1_p149613850	140
MAMLD1_p149613856	219
MAMLD1_p149638008	527
MAMLD1_p149638045	360
MAMSTR_m49218520	262
MAMSTR_m49218547	326
MAMSTR_m49218552	638
MAMSTR_m49218565	554
MAMSTR_m49218607	203
MAMSTR_p49218119	24
MAMSTR_p49218127	953
MAMSTR_p49218506	1053
MAMSTR_p49218555	80
MAMSTR_p49218599	284
MAN1A2_m117910830	546
MAN1A2_m117910868	257
MAN1A2_m117910875	351
MAN1A2_m117910880	474
MAN1A2_m117910896	231
MAN1A2_m117910927	528
MAN1A2_p117910840	149
MAN1A2_p117910988	170
MAN1A2_p117911024	358
MAN1A2_p117911030	340
MAP10_m232940776	132
MAP10_m232940852	503
MAP10_m232940874	173
MAP10_m232940944	513
MAP10_p232940760	319
MAP10_p232940791	745
MAP10_p232940797	164
MAP10_p232940952	352
MAP10_p232940959	313
MAP10_p232940991	305
MAP1S_m17830342	391
MAP1S_m17830364	516
MAP1S_m17830405	437
MAP1S_p17830298	350
MAP1S_p17830305	20
MAP1S_p17830311	137
MAP1S_p17830346	734
MAP1S_p17830370	364
MAP1S_p17830394	904
MAP1S_p17830407	198
MAP2K1_m66679691	138
MAP2K1_m66679730	210
MAP2K1_m66679755	415
MAP2K1_m66727441	564
MAP2K1_m66727451	260
MAP2K1_p66679702	363
MAP2K1_p66727352	509
MAP2K1_p66727376	222
MAP2K1_p66727415	1096
MAP2K1_p66727443	880
MAP2K2_m4117418	323
MAP2K2_m4117480	491
MAP2K2_m4117486	972
MAP2K2_m4117559	381
MAP2K2_m4117616	765
MAP2K2_m4123844	589
MAP2K2_m4123853	209
MAP2K2_p4123776	999
MAP2K2_p4123781	321
MAP2K2_p4123831	581
MAP2K3_m21202197	534
MAP2K3_m21202204	32
MAP2K3_m21202218	493
MAP2K3_m21202227	22
MAP2K3_p21202208	247
MAP2K3_p21203843	398
MAP2K3_p21203849	583
MAP2K3_p21203861	903
MAP2K3_p21203879	318
MAP2K3_p21203886	212
MAP2K4_m11924290	576
MAP2K4_m11924295	726
MAP2K4_m11958302	453
MAP2K4_p11924203	379
MAP2K4_p11984763	454
MAP2K4_p11984772	1486
MAP2K4_p11998887	168
MAP2K4_p11998937	901
MAP2K4_p11998989	642
MAP2K4_p12011105	450
MAP2K5_m67842385	383
MAP2K5_m67842395	220
MAP2K5_m67873101	253
MAP2K5_p67842359	595
MAP2K5_p67842364	568
MAP2K5_p67855613	572
MAP2K5_p67855642	1191
MAP2K5_p67855651	717
MAP2K5_p67873087	283
MAP2K5_p67873103	874
MAP2K6_m67501973	145
MAP2K6_m67501980	435
MAP2K6_m67512999	464
MAP2K6_p67501916	681
MAP2K6_p67513014	431
MAP2K6_p67513022	303
MAP2K6_p67513627	589
MAP2K6_p67513633	1073
MAP2K6_p67513645	322
MAP2K6_p67513657	163
MAP2K7_m7968842	210
MAP2K7_m7968863	64
MAP2K7_m7968894	164
MAP2K7_m7968902	615
MAP2K7_m7968938	227
MAP2K7_m7968946	312
MAP2K7_p7968825	876
MAP2K7_p7968846	10
MAP2K7_p7968872	1093
MAP2K7_p7968884	358
MAP2_m210517930	718
MAP2_m210517948	140
MAP2_m210517978	109
MAP2_p210517886	419
MAP2_p210517902	273
MAP2_p210517913	1118
MAP2_p210517935	317
MAP2_p210517968	555
MAP2_p210517984	261
MAP2_p210518011	148
MAP3K10_m40697995	407
MAP3K10_m40698069	887
MAP3K10_m40698130	294
MAP3K10_m40698181	83
MAP3K10_p40698000	465
MAP3K10_p40698006	430
MAP3K10_p40698015	572
MAP3K10_p40698029	790
MAP3K10_p40698076	1051
MAP3K10_p40698084	125
MAP3K11_m65381097	431
MAP3K11_m65381129	329
MAP3K11_m65381164	605
MAP3K11_m65381171	602
MAP3K11_m65381177	614
MAP3K11_m65381182	191
MAP3K11_m65381188	229
MAP3K11_p65381099	308
MAP3K11_p65381197	249
MAP3K11_p65381206	242
MAP3K12_m53881057	312
MAP3K12_m53881090	484
MAP3K12_m53881108	746
MAP3K12_m53881133	567
MAP3K12_p53881030	236
MAP3K12_p53881040	430
MAP3K12_p53881062	691
MAP3K12_p53881079	318
MAP3K12_p53881093	164
MAP3K12_p53881141	799
MAP3K13_m185161253	634
MAP3K13_p185161266	151
MAP3K13_p185161280	479
MAP3K13_p185161293	122
MAP3K13_p185161327	665
MAP3K13_p185161335	626
MAP3K13_p185161347	1250
MAP3K13_p185165579	479
MAP3K13_p185165646	1091
MAP3K13_p185165651	325
MAP3K14_m43367956	587
MAP3K14_m43367978	656
MAP3K14_m43367984	684
MAP3K14_m43368016	278
MAP3K14_m43368085	823
MAP3K14_m43368095	302
MAP3K14_m43368101	761
MAP3K14_p43367944	376
MAP3K14_p43367958	401
MAP3K14_p43368021	216
MAP3K15_m19533105	143
MAP3K15_m19533114	467
MAP3K15_m19533156	193
MAP3K15_m19533161	715
MAP3K15_m19533220	997
MAP3K15_m19533349	376
MAP3K15_m19533354	351
MAP3K15_m19533364	596
MAP3K15_m19533371	636
MAP3K15_p19533188	444
MAP3K19_m135763014	356
MAP3K19_m135763028	643
MAP3K19_m135763036	816
MAP3K19_m135763064	560
MAP3K19_m135763087	337
MAP3K19_m135779286	972
MAP3K19_p135763020	489
MAP3K19_p135763047	758
MAP3K19_p135763070	924
MAP3K19_p135779327	589
MAP3K1_m56111444	569
MAP3K1_m56111491	775
MAP3K1_m56111511	431
MAP3K1_p56111415	607
MAP3K1_p56111423	67
MAP3K1_p56111431	100
MAP3K1_p56111447	118
MAP3K1_p56111454	858
MAP3K1_p56111460	863
MAP3K1_p56111474	722
MAP3K2_m128093471	778
MAP3K2_m128095325	316
MAP3K2_m128096575	474
MAP3K2_m128096590	649
MAP3K2_p128093463	555
MAP3K2_p128093503	737
MAP3K2_p128093508	441
MAP3K2_p128096541	677
MAP3K2_p128096549	1194
MAP3K2_p128096560	512
MAP3K3_m61710085	736
MAP3K3_m61710107	462
MAP3K3_m61710114	446
MAP3K3_p61710026	486
MAP3K3_p61710056	634
MAP3K3_p61710093	703
MAP3K3_p61710123	405
MAP3K3_p61710136	528
MAP3K3_p61723402	1286
MAP3K3_p61729912	295
MAP3K4_m161412976	529
MAP3K4_m161412982	246
MAP3K4_m161412992	848
MAP3K4_m161412999	1700
MAP3K4_m161413009	1043
MAP3K4_m161413021	799
MAP3K4_m161413027	186
MAP3K4_m161413056	414
MAP3K4_m161413062	245
MAP3K4_p161412965	380
MAP3K5_m137113201	284
MAP3K5_m137113275	773
MAP3K5_m137113282	781
MAP3K5_m137113288	744
MAP3K5_p137113064	716
MAP3K5_p137113071	1011
MAP3K5_p137113086	717
MAP3K5_p137113122	311
MAP3K5_p137113128	551
MAP3K5_p137113221	351
MAP3K6_m27692904	312
MAP3K6_m27692918	694
MAP3K6_m27692931	502
MAP3K6_m27693009	595
MAP3K6_m27693021	297
MAP3K6_m27693027	332
MAP3K6_p27692853	671
MAP3K6_p27692885	558
MAP3K6_p27692896	194
MAP3K6_p27692936	908
MAP3K7_m91281515	1125
MAP3K7_m91281521	340
MAP3K7_m91296484	1056
MAP3K7_m91296490	596
MAP3K7_m91296502	735
MAP3K7_p91296505	234
MAP3K7_p91296511	714
MAP3K7_p91296516	579
MAP3K7_p91296548	192
MAP3K7_p91296554	530
MAP3K8_m30727984	659
MAP3K8_m30727999	595
MAP3K8_m30728012	507
MAP3K8_m30728070	784
MAP3K8_m30728080	847
MAP3K8_p30727864	711
MAP3K8_p30727935	375
MAP3K8_p30728044	869
MAP3K8_p30728052	693
MAP3K8_p30728060	750
MAP3K9_m71275669	755
MAP3K9_m71275686	1044
MAP3K9_m71275692	673
MAP3K9_m71275698	998
MAP3K9_m71275720	231
MAP3K9_m71275865	174
MAP3K9_p71275702	1325
MAP3K9_p71275709	581
MAP3K9_p71275855	558
MAP3K9_p71275867	558
MAP4K1_m39108209	405
MAP4K1_m39108216	659
MAP4K1_m39108247	759
MAP4K1_m39108255	973
MAP4K1_m39108451	478
MAP4K1_m39108461	911
MAP4K1_m39108467	448
MAP4K1_m39108472	639
MAP4K1_p39108219	454
MAP4K1_p39108474	946
MAP4K2_m64570389	1050
MAP4K2_m64570556	222
MAP4K2_m64570584	160
MAP4K2_m64570593	757
MAP4K2_m64570609	652
MAP4K2_p64570372	378
MAP4K2_p64570522	709
MAP4K2_p64570528	675
MAP4K2_p64570565	1048
MAP4K2_p64570600	467
MAP4K3_m39605247	439
MAP4K3_m39664048	595
MAP4K3_m39664057	732
MAP4K3_m39664063	941
MAP4K3_m39664088	224
MAP4K3_p39583461	104
MAP4K3_p39664029	753
MAP4K3_p39664072	236
MAP4K3_p39664079	419
MAP4K3_p39664098	188
MAP4K4_m102314586	801
MAP4K4_m102314591	469
MAP4K4_m102407215	219
MAP4K4_p102314576	603
MAP4K4_p102314922	562
MAP4K4_p102314949	1004
MAP4K4_p102314955	252
MAP4K4_p102314964	824
MAP4K4_p102314978	601
MAP4K4_p102407204	716
MAP4K5_m50998674	457
MAP4K5_m50998684	927
MAP4K5_m50998690	308
MAP4K5_m50998695	1966
MAP4K5_m50998715	550
MAP4K5_m50998731	155
MAP4K5_p50998676	516
MAP4K5_p50998699	1090
MAP4K5_p50998722	400
