sgRNA	Count
ANKK1_0_10818	100
ANKK1_0_7212	19
ANKK1_100_10818	119
ANKK1_10_0	3779
ANKK1_10_10818	58
ANKK1_10_3606	139
ANKK1_10_5409	113
ANKK1_11_10818	0
ANKK1_11_5409	393
ANKK1_12_0	50
ANKK1_12_10818	44
ANKK1_12_5409	31
ANKK1_12_9015	18
ANKK1_13_10818	28
ANKK1_13_1803	93
APAF1_112_12898	17
APAF1_171_12898	130
APAF1_172_12898	0
APAF1_174_12898	7
APAF1_19_12898	315
APAF1_22_12898	209
APAF1_24_12898	70
APAF1_53_12898	3
APAF1_54_12898	9
APAF1_56_12898	85
APAF1_76_12898	57
APAF1_81_12898	0
APAF1_83_12898	14
APPL1_0_13066	0
APPL1_0_6533	0
APPL1_101_13066	361
APPL1_102_13066	23
APPL1_104_0	25
APPL1_108_13066	41
APPL1_118_0	3
APPL1_11_19599	50
APPL1_123_0	8
APPL1_124_0	15
APPL1_125_0	304
APPL1_126_0	12
APPL1_12_19599	4
APPL1_132_0	296
APPL1_14_26132	25
ARAF_0_0	14
ARAF_0_1541	9
ARAF_0_3082	1
ARAF_0_7705	14
ARAF_0_9246	42
ARAF_10_1541	113
ARAF_10_9246	49
ARAF_11_0	11
ARAF_11_1541	213
ARAF_12_1541	8
ARAF_12_3082	3
ARAF_13_1541	81
ARAF_13_7705	80
ARAF_14_1541	75
ARAF_15_3082	0
ARAF_15_9246	14
ASB14_0_10428	0
ASB14_0_13904	100
ASB14_0_20856	29
ASB14_10_3476	0
ASB14_11_13904	60
ASB14_12_17380	7
ASB14_12_20856	76
ASB14_12_6952	54
ASB14_13_13904	7
ASB14_13_17380	71
ASB14_14_13904	440
ASB14_14_17380	40
ASB14_14_3476	0
ASB14_14_6952	9
ASB14_15_17380	42
ATM_0_20946	92
ATM_104_62838	74
ATM_106_0	0
ATM_106_41892	0
ATM_107_41892	66
ATM_108_62838	563
ATM_109_0	74
ATM_109_62838	101
ATM_10_0	11
ATM_113_20946	9
ATM_114_20946	0
ATM_116_20946	23
ATM_117_0	53
ATM_117_41892	144
ATM_118_0	109
ATM_119_0	36
ATR_0_0	271
ATR_0_37026	0
ATR_0_74052	16
ATR_101_74052	10
ATR_102_0	35
ATR_103_0	15
ATR_105_92565	41
ATR_107_92565	0
ATR_108_92565	41
ATR_109_37026	89
ATR_109_92565	45
ATR_110_37026	144
ATR_111_0	22
ATR_111_111078	55
ATR_111_37026	295
ATR_112_37026	38
AURKA_0_0	11
AURKA_101_19668	30
AURKA_104_19668	210
AURKA_10_13112	61
AURKA_116_19668	19
AURKA_11_0	80
AURKA_11_16390	50
AURKA_11_19668	20
AURKA_12_16390	645
AURKA_12_19668	0
AURKA_13_13112	160
AURKA_13_16390	0
AURKA_13_6556	9
AURKA_14_19668	29
AURKA_15_13112	48
AURKB_0_0	430
AURKB_0_1674	0
AURKB_0_2511	132
AURKB_0_5022	27
AURKB_0_837	25
AURKB_10_0	9
AURKB_10_1674	19
AURKB_10_2511	9
AURKB_10_3348	182
AURKB_10_5022	20
AURKB_11_1674	238
AURKB_11_2511	67
AURKB_11_4185	16
AURKB_11_5022	109
AURKB_11_837	17
AURKB_12_0	52
AURKC_0_0	3
AURKC_0_1296	75
AURKC_0_1944	22
AURKC_0_3888	88
AURKC_0_648	198
AURKC_10_0	51
AURKC_10_1296	284
AURKC_10_1944	33
AURKC_10_3240	93
AURKC_10_3888	18
AURKC_10_648	68
AURKC_11_0	36
AURKC_11_1296	76
AURKC_11_1944	13
AURKC_11_3240	6
AVPR1A_0_1630	0
AVPR1A_0_2445	0
AVPR1A_0_3260	22
AVPR1A_0_4075	0
AVPR1A_0_4890	26
AVPR1A_0_815	31
AVPR1A_10_4890	4
AVPR1A_10_815	39
AVPR1A_11_0	138
AVPR1A_11_4075	4
AVPR1A_11_4890	123
AVPR1A_11_815	18
AVPR1A_12_4075	41
AVPR1A_12_4890	24
AVPR1B_2_6858	29
AVPR1B_34_6858	35
AVPR1B_36_6858	43
AVPR1B_37_6858	351
AVPR1B_39_6858	184
AVPR1B_3_6858	104
AVPR1B_40_6858	276
AVPR1B_41_6858	125
AVPR1B_42_6858	35
AVPR1B_44_6858	356
AVPR1B_45_6858	445
AVPR1B_60_6858	17
AXL_0_18240	6
AXL_101_24320	11
AXL_101_30400	0
AXL_101_36480	68
AXL_102_24320	24
AXL_102_36480	102
AXL_103_36480	102
AXL_104_36480	266
AXL_107_12160	11
AXL_10_0	1186
AXL_110_0	102
AXL_110_12160	31
AXL_110_30400	2
AXL_111_12160	46
AXL_111_36480	708
AXL_111_6080	6
AZU1_0_1976	0
AZU1_0_2964	8
AZU1_10_1976	29
AZU1_10_4940	120
AZU1_10_5928	7
AZU1_11_1976	190
AZU1_11_5928	1
AZU1_12_1976	28
AZU1_12_2964	54
AZU1_13_1976	9
AZU1_14_5928	37
AZU1_15_5928	114
AZU1_16_1976	42
AZU1_16_5928	43
AZU1_17_5928	32
AZU1_18_5928	442
