"DesignID"	"Readcount"
"ACTR1A_2"	3
"ACTR1B_0"	142
"ACTR1B_1"	82
"ACTR1B_2"	0
"ACTR1B_3"	74
"ACTR2_0"	107
"ACTR3_0"	115
"ACTR3_1"	3
"ACTR3B_0"	539
"ACTR3B_1"	24
"ACTR3C_0"	93
"ACTR5_0"	12
"ACTR5_1"	65
"ACTR5_2"	41
"ACTR6_0"	117
"ACTR6_1"	3
"ACTR6_2"	30
"ACTR8_0"	7
"ACTR8_1"	66
"ACTR8_2"	25
"ACTR8_3"	108
"ACTR8_4"	39
"ACTR8_5"	87
"ACTRT1_0"	111
"ACTRT1_1"	18
"ACTRT2_0"	40
"ACTRT2_1"	312
"ACTRT2_2"	75
"ACTRT3_0"	848
"ACTRT3_1"	12
"ACTRT3_2"	181
"ACTRT3_3"	117
"ACTRT3_4"	206
"ACTRT3_5"	152
"ACVR1_0"	113
"ACVR1_1"	244
"ACVR1_2"	267
"ACVR1_3"	45
"ACVR1B_0"	525
"ACVR1B_1"	1037
"ACVR1B_2"	104
"ACVR1B_3"	448
"ACVR1C_0"	497
"ACVR1C_1"	525
"ACVR1C_2"	298
"ACVR1C_3"	598
"ACVR1C_4"	72
"ACVR1C_5"	164
"ACVR1C_6"	51
"ACVR1C_7"	215
"ACVR1C_8"	97
"ACVR2A_0"	124
"ACVR2A_1"	9
"ACVR2A_2"	129
"ACVR2A_3"	42
"ACVR2B_0"	35
"ACVR2B_1"	141
"ACVRL1_0"	46
"ACVRL1_1"	144
"ACVRL1_2"	0
"ACVRL1_3"	47
"ACY1_0"	92
"ACY1_1"	33
"ACY1_2"	343
"ACY1_3"	372
"ACY1_4"	246
"ACY3_0"	25
"ACY3_1"	3
"ACY3_2"	63
"ACY3_3"	21
"ACYP1_0"	5
"ACYP1_1"	80
"ACYP1_2"	65
"ACYP1_3"	65
"ACYP1_4"	290
"ACYP2_0"	0
"ACYP2_1"	92
"ACYP2_2"	14
"ACYP2_3"	91
"ADA_0"	123
"ADA_1"	55
"ADA_2"	53
"ADAD1_0"	314
"ADAD1_1"	22
"ADAD1_2"	86
"ADAD2_0"	154
"ADAD2_1"	84
"ADAD2_2"	19
"ADAD2_3"	104
"ADAD2_4"	95
"ADAL_0"	184
"ADAL_1"	114
"ADAL_2"	55
"ADAM10_0"	144
"ADAM10_1"	369
"ADAM10_2"	68
"ADAM10_3"	169
"ADAM11_0"	83
"ADAM11_1"	24
"ADAM12_0"	14
"ADAM12_1"	226
"ADAM12_2"	150
"ADAM15_0"	627
"ADAM15_1"	1114
"ADAM15_2"	538
"ADAM15_3"	1455
"ADAM17_0"	44
"ADAM17_1"	122
"ADAM17_2"	81
"ADAM17_3"	0
"ADAM17_4"	60
"ADAM18_0"	126
"ADAM18_1"	139
"ADAM18_2"	272
"ADAM19_0"	5
"ADAM19_1"	134
"ADAM19_2"	14
"ADAM2_0"	265
"ADAM2_1"	129
"ADAM2_2"	142
"ADAM2_3"	56
"ADAM20_0"	295
"ADAM20_1"	47
"ADAM21_0"	1
"ADAM21_1"	247
"ADAM22_0"	260
"ADAM22_1"	195
"ADAM22_2"	261
"ADAM22_3"	915
"ADAM23_0"	71
"ADAM23_1"	139
"ADAM23_2"	101
"ADAM28_0"	37
"ADAM28_1"	147
"ADAM28_2"	176
"ADAM28_3"	68
"ADAM29_0"	45
"ADAM29_1"	49
"ADAM29_2"	93
"ADAM30_0"	55
"ADAM30_1"	102
"ADAM30_2"	88
"ADAM32_0"	63
"ADAM32_1"	185
"ADAM32_2"	60
"ADAM33_0"	256
"ADAM33_1"	187
"ADAM33_2"	16
"ADAM33_3"	16
"ADAM7_0"	215
"ADAM7_1"	39
"ADAM7_2"	26
"ADAM7_3"	53
"ADAM8_0"	225
"ADAM8_1"	231
"ADAM8_2"	279
"ADAM8_3"	19
"ADAM9_0"	243
"ADAM9_1"	17
"ADAM9_2"	42
"ADAM9_3"	415
"ADAMDEC1_0"	261
"ADAMDEC1_1"	159
"ADAMDEC1_2"	328
"ADAMDEC1_3"	12
"ADAMDEC1_4"	157
"ADAMDEC1_5"	223
"ADAMDEC1_6"	112
